precision,channel,phone,soc,backend,provenance,n,beta_c,sigma2_c,v_total_logvar,sigma2_run_log,sigma2_mean_log,R2_factor,R2_variance,R2_at_k1.5,R2_at_k2,R2_at_k3,var_s_factor
fp32,SM-F926B / CPU,SM-F926B,SD888,CPU,PRIOR-context,491,0.8331,0.306,1.7278,0.10166,0.00508302,0.694,0.9971,0.9956,0.9941,0.9912,0.9984
fp32,23106RN0DA / CPU,23106RN0DA,HelioMT6768,CPU,NEW-unpublished,491,0.8596,0.2611,1.3458,0.031957,0.00159785,0.7389,0.9988,0.9982,0.9976,0.9964,0.9984
fp32,Redmi Note 9 Pro / CPU,Redmi Note 9 Pro,SD720G,CPU,NEW-unpublished,491,0.8534,0.2716,1.2838,0.115888,0.00579438,0.7284,0.9955,0.9932,0.991,0.9865,0.9984
fp32,SM-P613 / CPU,SM-P613,SD720G,CPU,NEW-unpublished,491,0.8559,0.2674,1.3021,0.130901,0.00654505,0.7326,0.995,0.9925,0.9899,0.9849,0.9984
fp32,STK-L21 / CPU,STK-L21,Kirin710,CPU,NEW-unpublished,491,0.8638,0.2538,1.0297,0.03984,0.00199199,0.7462,0.9981,0.9971,0.9961,0.9942,0.9984
fp32,SM-F926B / GPU,SM-F926B,SD888,GPU,PRIOR-context,491,0.9954,0.0092,1.3031,0.003542,0.00017712,0.9908,0.9999,0.9998,0.9997,0.9996,0.9984
fp32,23106RN0DA / GPU,23106RN0DA,HelioMT6768,GPU,NEW-unpublished,491,0.9949,0.0103,1.3712,0.001988,9.938e-05,0.9897,0.9999,0.9999,0.9999,0.9998,0.9984
fp32,Redmi Note 9 Pro / GPU,Redmi Note 9 Pro,SD720G,GPU,NEW-unpublished,491,0.9981,0.0038,1.2253,0.000197,9.87e-06,0.9962,1.0,1.0,1.0,1.0,0.9984
fp32,SM-P613 / GPU,SM-P613,SD720G,GPU,NEW-unpublished,491,0.9977,0.0046,1.212,0.000209,1.044e-05,0.9954,1.0,1.0,1.0,1.0,0.9984
fp32,STK-L21 / GPU,STK-L21,Kirin710,GPU,NEW-unpublished,491,0.9747,0.05,1.3185,0.005943,0.00029716,0.95,0.9998,0.9997,0.9995,0.9993,0.9984
int8,SM-F926B / CPU,SM-F926B,SD888,CPU,PRIOR-context,503,0.9945,0.011,1.3004,0.023068,0.00115341,0.989,0.9991,0.9987,0.9982,0.9973,0.9985
int8,23106RN0DA / CPU,23106RN0DA,HelioMT6768,CPU,NEW-unpublished,503,0.9967,0.0066,1.206,0.001635,8.177e-05,0.9934,0.9999,0.9999,0.9999,0.9998,0.9985
int8,Redmi Note 9 Pro / CPU,Redmi Note 9 Pro,SD720G,CPU,NEW-unpublished,503,0.9922,0.0156,1.3322,0.000372,1.861e-05,0.9844,1.0,1.0,1.0,1.0,0.9985
int8,SM-P613 / CPU,SM-P613,SD720G,CPU,NEW-unpublished,503,0.9923,0.0153,1.3374,0.000405,2.023e-05,0.9847,1.0,1.0,1.0,1.0,0.9985
int8,STK-L21 / CPU,STK-L21,Kirin710,CPU,NEW-unpublished,503,0.9526,0.0925,1.1869,0.011357,0.00056784,0.9075,0.9995,0.9993,0.999,0.9986,0.9985
int8,SM-F926B / GPU,SM-F926B,SD888,GPU,PRIOR-context,503,0.9946,0.0108,1.2943,0.007251,0.00036257,0.9892,0.9997,0.9996,0.9994,0.9992,0.9985
int8,23106RN0DA / GPU,23106RN0DA,HelioMT6768,GPU,NEW-unpublished,503,0.9924,0.0151,1.4718,0.001516,7.582e-05,0.9849,0.9999,0.9999,0.9999,0.9998,0.9985
int8,Redmi Note 9 Pro / GPU,Redmi Note 9 Pro,SD720G,GPU,NEW-unpublished,503,0.9928,0.0144,1.2335,0.001423,7.113e-05,0.9856,0.9999,0.9999,0.9999,0.9998,0.9985
int8,SM-P613 / GPU,SM-P613,SD720G,GPU,NEW-unpublished,503,0.9924,0.0151,1.237,0.000325,1.624e-05,0.9849,1.0,1.0,1.0,1.0,0.9985
int8,STK-L21 / GPU,STK-L21,Kirin710,GPU,NEW-unpublished,503,0.9592,0.08,1.3926,0.004557,0.00022787,0.92,0.9998,0.9998,0.9997,0.9995,0.9985
