precision,pair,soc_1,soc_2,independence_level,provenance_pair,R2_factor_c1,R2_factor_c2,rho_S_pred_FACTOR,rho_S_obs,rho_S_obs_CI_lo,rho_S_obs_CI_hi,rho_P_obs,abs_error,signed_error_obs_minus_pred,pred_in_CI,n
fp32,SM-F926B x 23106RN0DA,SD888,HelioMT6768,cross-family,involves-PRIOR,0.9908,0.9897,0.9893,0.9877,0.9827,0.991,0.9953,0.0016,-0.0016,True,491
fp32,SM-F926B x Redmi Note 9 Pro,SD888,SD720G,cross-family,involves-PRIOR,0.9908,0.9962,0.9928,0.9838,0.9783,0.9874,0.9924,0.009,-0.009,False,491
fp32,SM-F926B x SM-P613,SD888,SD720G,cross-family,involves-PRIOR,0.9908,0.9954,0.9924,0.9831,0.9777,0.9867,0.9913,0.0093,-0.0093,False,491
fp32,SM-F926B x STK-L21,SD888,Kirin710,cross-family,involves-PRIOR,0.9908,0.95,0.9673,0.9642,0.9543,0.9711,0.9698,0.0031,-0.0031,True,491
fp32,23106RN0DA x Redmi Note 9 Pro,HelioMT6768,SD720G,cross-family,NEW-only,0.9897,0.9962,0.9922,0.9844,0.9787,0.988,0.9922,0.0078,-0.0078,False,491
fp32,23106RN0DA x SM-P613,HelioMT6768,SD720G,cross-family,NEW-only,0.9897,0.9954,0.9918,0.9837,0.9783,0.9871,0.991,0.0081,-0.0081,False,491
fp32,23106RN0DA x STK-L21,HelioMT6768,Kirin710,cross-family,NEW-only,0.9897,0.95,0.9667,0.9647,0.9555,0.9712,0.9688,0.002,-0.002,True,491
fp32,Redmi Note 9 Pro x SM-P613,SD720G,SD720G,same-family-SD720G,NEW-only,0.9962,0.9954,0.9954,0.9949,0.9919,0.9967,0.9986,0.0005,-0.0005,True,491
fp32,Redmi Note 9 Pro x STK-L21,SD720G,Kirin710,cross-family,NEW-only,0.9962,0.95,0.9702,0.971,0.963,0.9769,0.973,0.0008,0.0008,True,491
fp32,SM-P613 x STK-L21,SD720G,Kirin710,cross-family,NEW-only,0.9954,0.95,0.9697,0.9697,0.9614,0.9756,0.9726,0.0,0.0,True,491
int8,SM-F926B x 23106RN0DA,SD888,HelioMT6768,cross-family,involves-PRIOR,0.9892,0.9849,0.9857,0.9787,0.9712,0.9836,0.9874,0.007,-0.007,False,503
int8,SM-F926B x Redmi Note 9 Pro,SD888,SD720G,cross-family,involves-PRIOR,0.9892,0.9856,0.9861,0.9898,0.9853,0.9925,0.9966,0.0037,0.0037,True,503
int8,SM-F926B x SM-P613,SD888,SD720G,cross-family,involves-PRIOR,0.9892,0.9849,0.9857,0.9898,0.9857,0.9924,0.9961,0.0041,0.0041,False,503
int8,SM-F926B x STK-L21,SD888,Kirin710,cross-family,involves-PRIOR,0.9892,0.92,0.9496,0.9391,0.9222,0.9521,0.9514,0.0105,-0.0105,True,503
int8,23106RN0DA x Redmi Note 9 Pro,HelioMT6768,SD720G,cross-family,NEW-only,0.9849,0.9856,0.9838,0.9734,0.9647,0.9793,0.9837,0.0104,-0.0104,False,503
int8,23106RN0DA x SM-P613,HelioMT6768,SD720G,cross-family,NEW-only,0.9849,0.9849,0.9834,0.9723,0.9639,0.978,0.9829,0.0111,-0.0111,False,503
int8,23106RN0DA x STK-L21,HelioMT6768,Kirin710,cross-family,NEW-only,0.9849,0.92,0.9474,0.9587,0.9459,0.9685,0.9665,0.0113,0.0113,True,503
int8,Redmi Note 9 Pro x SM-P613,SD720G,SD720G,same-family-SD720G,NEW-only,0.9856,0.9849,0.9838,0.9958,0.9932,0.9974,0.9993,0.012,0.012,False,503
int8,Redmi Note 9 Pro x STK-L21,SD720G,Kirin710,cross-family,NEW-only,0.9856,0.92,0.9477,0.9361,0.9194,0.9487,0.9489,0.0116,-0.0116,True,503
int8,SM-P613 x STK-L21,SD720G,Kirin710,cross-family,NEW-only,0.9849,0.92,0.9474,0.9334,0.9164,0.9463,0.9481,0.014,-0.014,False,503
