precision,task_dir,model_name,device,soc,os_version,valid,iterations,in0,in1,in2,in3,cpu_dur,cpu_min,cpu_max,cpu_std,gpu_dur,gpu_min,gpu_max,gpu_std,npu_dur,npu_min,npu_max,npu_std
fp32,img-classification_cifar-10_acc_unq-d4b72f29cf9c1ea779bec2a00aacaad8,unq-d4b72f29cf9c1ea779bec2a00aacaad8,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,32,32,3,78128600.0,59574000.0,143204000.0,27015000.0,14501300.0,14416000.0,14617000.0,52000.0,14494400.0,14415000.0,14835000.0,72000.0
fp32,img-classification_cifar-10_acc_unq-d4b72f29cf9c1ea779bec2a00aacaad8,unq-d4b72f29cf9c1ea779bec2a00aacaad8,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,32,32,3,152589000.0,124478000.0,225601000.0,42222000.0,46472300.0,41690000.0,64623000.0,7480000.0,76539700.0,75585000.0,77449000.0,526000.0
fp32,img-classification_cifar-10_acc_unq-d4b72f29cf9c1ea779bec2a00aacaad8,unq-d4b72f29cf9c1ea779bec2a00aacaad8,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,32,32,3,52325300.0,44300000.0,83942000.0,10831000.0,8641640.0,8484000.0,13545000.0,703000.0,8686720.0,8467000.0,13490000.0,903000.0
fp32,img-classification_cifar-10_acc_unq-d4b72f29cf9c1ea779bec2a00aacaad8,unq-d4b72f29cf9c1ea779bec2a00aacaad8,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,32,32,3,111206000.0,101706000.0,116011000.0,5220000.0,33881200.0,33634000.0,34576000.0,243000.0,33959900.0,33528000.0,35359000.0,463000.0
fp32,img-classification_cifar-10_acc_unq-d4b72f29cf9c1ea779bec2a00aacaad8,unq-d4b72f29cf9c1ea779bec2a00aacaad8,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,32,32,3,94627300.0,70606000.0,192239000.0,43902000.0,14476500.0,14390000.0,14623000.0,48000.0,14488600.0,14391000.0,14591000.0,47000.0
fp32,img-classification_cifar-10_acc_unq-5c313adafbc65191b15d3876956fa100,unq-5c313adafbc65191b15d3876956fa100,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,141857000.0,75621000.0,311213000.0,98009000.0,17696100.0,17544000.0,18133000.0,123000.0,17840900.0,17616000.0,18410000.0,175000.0
fp32,img-classification_cifar-10_acc_unq-5c313adafbc65191b15d3876956fa100,unq-5c313adafbc65191b15d3876956fa100,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,64,64,3,142732000.0,92068000.0,289476000.0,84730000.0,55729600.0,50977000.0,77015000.0,8257000.0,103312000.0,103031000.0,103745000.0,241000.0
fp32,img-classification_cifar-10_acc_unq-5c313adafbc65191b15d3876956fa100,unq-5c313adafbc65191b15d3876956fa100,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,64,64,3,59302000.0,48205000.0,121394000.0,22012000.0,10879700.0,10759000.0,13294000.0,362000.0,10965300.0,10824000.0,13251000.0,345000.0
fp32,img-classification_cifar-10_acc_unq-5c313adafbc65191b15d3876956fa100,unq-5c313adafbc65191b15d3876956fa100,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,64,64,3,129320000.0,86248000.0,232896000.0,60072000.0,45084100.0,42848000.0,48439000.0,1751000.0,57662600.0,56936000.0,58388000.0,537000.0
fp32,img-classification_cifar-10_acc_unq-5c313adafbc65191b15d3876956fa100,unq-5c313adafbc65191b15d3876956fa100,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,64,64,3,131966000.0,83944000.0,264820000.0,76753000.0,18419100.0,17792000.0,20554000.0,676000.0,17838000.0,17700000.0,17970000.0,63000.0
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,256,256,3,824406000.0,711186000.0,970683000.0,65444000.0,544265000.0,543353000.0,545456000.0,612000.0,543112000.0,541643000.0,550845000.0,1946000.0
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,256,256,3,1524.0,1273818000.0,1590062000.0,67002000.0,1641.0,1633687000.0,1662430000.0,5153000.0,2034.0,1633810000.0,3249930000.0,681646000.0
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,256,256,3,584739000.0,465600000.0,661843000.0,49851000.0,337368000.0,336719000.0,338016000.0,648000.0,352770000.0,349307000.0,356233000.0,3463000.0
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,256,256,3,843151000.0,806591000.0,1103874000.0,61621000.0,1771.0,1760720000.0,1786222000.0,7906000.0,1434.0,1386596000.0,1778487000.0,106316000.0
fp32,img-classification_cifar-10_acc_unq-7fd93783cbea58ad0b62bfbc1e522cd9,unq-7fd93783cbea58ad0b62bfbc1e522cd9,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,256,256,3,883368000.0,699830000.0,1098277000.0,111782000.0,550609000.0,546461000.0,556365000.0,2325000.0,547808000.0,546749000.0,550872000.0,942000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,64,64,3,83760700.0,59001000.0,149909000.0,31266000.0,10341600.0,10252000.0,10578000.0,52000.0,10246800.0,10189000.0,10632000.0,63000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,64,64,3,96351700.0,84066000.0,124836000.0,13343000.0,52751700.0,51488000.0,53295000.0,494000.0,53942100.0,52791000.0,56647000.0,1012000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,64,64,3,38875600.0,32832000.0,63752000.0,7512000.0,6043900.0,5862000.0,9357000.0,634000.0,6097550.0,5870000.0,11530000.0,942000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,64,64,3,70320600.0,54149000.0,78619000.0,8104000.0,23779800.0,23522000.0,24476000.0,230000.0,23581400.0,23453000.0,23715000.0,69000.0
fp32,img-classification_cifar-10_acc_unq-4ed888425733bb48362d2fbb5818962c,unq-4ed888425733bb48362d2fbb5818962c,SM-P613,"Qualcomm Technologies, Inc ATOLL-AB",14 | UP1A.231005.007,True,20,1,64,64,3,74245900.0,48739000.0,168855000.0,39755000.0,10383400.0,10293000.0,10480000.0,43000.0,10292600.0,10187000.0,10532000.0,65000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,Redmi Note 9 Pro,"Qualcomm Technologies, Inc SM7125",10 | QKQ1.191215.002,True,20,1,29,29,3,302129000.0,230671000.0,350571000.0,28880000.0,18966100.0,18381000.0,20091000.0,366000.0,18427900.0,18226000.0,18763000.0,111000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,STK-L21,vendor Kirin710,10 | HUAWEISTK-L21,True,20,1,29,29,3,345952000.0,333122000.0,377409000.0,9838000.0,101828000.0,100456000.0,103263000.0,1155000.0,102961000.0,101867000.0,104312000.0,1001000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,SM-F926B,SM8350,14 | UP1A.231005.007,True,20,1,29,29,3,312788000.0,222860000.0,402715000.0,89927000.0,19891000.0,19599000.0,20157000.0,142000.0,16652099.0,16528000.0,17483000.0,160000.0
fp32,img-classification_cifar-10_acc_unq-11a715e250dc969684989a6b2f7b384c,unq-11a715e250dc969684989a6b2f7b384c,23106RN0DA,MT6768,13 | TP1A.220624.014,True,20,1,29,29,3,247429000.0,211127000.0,284970000.0,13914000.0,41836800.0,41331000.0,42693000.0,445000.0,42271700.0,40918000.0,44134000.0,925000.0
