space,n_fit,R2fit_Pixel4 / CPU,R2fit_Mi9 / GPU,R2fit_Pixel3XL / GPU,R2fit_Myriad / VPU
alexnets,997,0.9829,0.9969,0.9969,0.7521
densenets,988,0.9352,0.994,0.9957,0.7741
googlenets,1000,0.9392,0.9907,0.9956,0.9666
mnasnets,999,0.9465,0.9964,0.9967,0.8689
mobilenetv1s,998,0.933,0.9937,0.9963,0.6749
mobilenetv2s,999,0.9525,0.9952,0.9967,0.8652
mobilenetv3s,1000,0.9936,0.9966,0.9974,0.9655
proxylessnass,1000,0.9225,0.9912,0.996,0.8326
resnets,934,0.9795,0.9954,0.9961,0.8641
squeezenets,999,0.9835,0.9965,0.9972,0.9474
vggs,906,0.9894,0.9975,0.9974,0.9445
