space,vpu_pair,channel_partner,n_test,R2_vpu_fit,rho_S_pred,rho_S_obs_TEST,ci_lo,ci_hi,abs_error,signed_err_obs_minus_pred,in_95CI
alexnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,998,0.7521,0.8552,0.8471,0.8262,0.867,0.0081,-0.0081,True
alexnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,998,0.7521,0.8552,0.8479,0.8253,0.8677,0.0073,-0.0073,True
alexnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,998,0.7521,0.8487,0.8878,0.8699,0.9033,0.0391,0.0391,False
densenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,988,0.7741,0.8671,0.908,0.889,0.9249,0.0409,0.0409,False
densenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,988,0.7741,0.8679,0.9095,0.892,0.925,0.0416,0.0416,False
densenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,988,0.7741,0.8392,0.911,0.8964,0.9239,0.0718,0.0718,False
googlenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1000,0.9666,0.9764,0.9736,0.969,0.9767,0.0028,-0.0028,True
googlenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1000,0.9666,0.9791,0.9783,0.9745,0.981,0.0008,-0.0008,True
googlenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1000,0.9666,0.9484,0.9704,0.9656,0.9743,0.022,0.022,False
mnasnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1000,0.8689,0.9242,0.9112,0.897,0.9234,0.013,-0.013,False
mnasnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1000,0.8689,0.9244,0.9179,0.9036,0.9294,0.0065,-0.0065,True
mnasnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1000,0.8689,0.8988,0.8863,0.8684,0.9016,0.0125,-0.0125,True
mobilenetv1s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,998,0.6749,0.8057,0.8124,0.7879,0.8347,0.0067,0.0067,True
mobilenetv1s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,998,0.6749,0.8069,0.8356,0.8136,0.8552,0.0287,0.0287,False
mobilenetv1s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,998,0.6749,0.7792,0.8572,0.8387,0.8744,0.078,0.078,False
mobilenetv2s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,999,0.8652,0.9215,0.9196,0.9082,0.929,0.0019,-0.0019,True
mobilenetv2s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,999,0.8652,0.9222,0.9316,0.9208,0.9401,0.0094,0.0094,True
mobilenetv2s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,999,0.8652,0.8998,0.9647,0.959,0.9689,0.0649,0.0649,False
mobilenetv3s,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1000,0.9655,0.9791,0.8973,0.8851,0.9074,0.0818,-0.0818,False
mobilenetv3s,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1000,0.9655,0.9795,0.9074,0.8963,0.9172,0.0721,-0.0721,False
mobilenetv3s,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1000,0.9655,0.9775,0.8783,0.8659,0.89,0.0992,-0.0992,False
proxylessnass,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1000,0.8326,0.9005,0.8777,0.8614,0.8917,0.0228,-0.0228,False
proxylessnass,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1000,0.8326,0.9029,0.9032,0.8891,0.9147,0.0003,0.0003,True
proxylessnass,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1000,0.8326,0.8663,0.9637,0.9573,0.9685,0.0974,0.0974,False
resnets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,934,0.8641,0.9209,0.938,0.925,0.9482,0.0171,0.0171,False
resnets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,934,0.8641,0.9213,0.9177,0.9002,0.9323,0.0036,-0.0036,True
resnets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,934,0.8641,0.9129,0.9103,0.8913,0.9266,0.0026,-0.0026,True
squeezenets,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,1000,0.9474,0.9689,0.9792,0.9751,0.982,0.0103,0.0103,False
squeezenets,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,1000,0.9474,0.9693,0.9792,0.9756,0.9818,0.0099,0.0099,False
squeezenets,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,1000,0.9474,0.962,0.9776,0.974,0.9802,0.0156,0.0156,False
vggs,Mi9 / GPU x Myriad / VPU,Mi9 / GPU,906,0.9445,0.9678,0.9669,0.9597,0.9721,0.0009,-0.0009,True
vggs,Pixel3XL / GPU x Myriad / VPU,Pixel3XL / GPU,906,0.9445,0.9677,0.9664,0.9598,0.9715,0.0013,-0.0013,True
vggs,Pixel4 / CPU x Myriad / VPU,Pixel4 / CPU,906,0.9445,0.9635,0.964,0.9569,0.9692,0.0005,0.0005,True
