space,pos,half
alexnets,0,FIT
alexnets,1,FIT
alexnets,2,FIT
alexnets,3,TEST
alexnets,4,FIT
alexnets,5,TEST
alexnets,6,FIT
alexnets,7,TEST
alexnets,8,FIT
alexnets,9,TEST
alexnets,10,FIT
alexnets,11,FIT
alexnets,12,FIT
alexnets,13,TEST
alexnets,14,FIT
alexnets,15,TEST
alexnets,16,TEST
alexnets,17,FIT
alexnets,18,TEST
alexnets,19,TEST
alexnets,20,FIT
alexnets,21,FIT
alexnets,22,TEST
alexnets,23,FIT
alexnets,24,TEST
alexnets,25,FIT
alexnets,26,FIT
alexnets,27,TEST
alexnets,28,FIT
alexnets,29,FIT
alexnets,30,FIT
alexnets,31,FIT
alexnets,32,TEST
alexnets,33,FIT
alexnets,34,TEST
alexnets,35,TEST
alexnets,36,FIT
alexnets,37,TEST
alexnets,38,FIT
alexnets,39,TEST
alexnets,40,FIT
alexnets,41,TEST
alexnets,42,TEST
alexnets,43,FIT
alexnets,44,FIT
alexnets,45,FIT
alexnets,46,TEST
alexnets,47,FIT
alexnets,48,FIT
alexnets,49,TEST
alexnets,50,FIT
alexnets,51,FIT
alexnets,52,TEST
alexnets,53,FIT
alexnets,54,TEST
alexnets,55,FIT
alexnets,56,TEST
alexnets,57,FIT
alexnets,58,TEST
alexnets,59,TEST
alexnets,60,FIT
alexnets,61,FIT
alexnets,62,FIT
alexnets,63,TEST
alexnets,64,TEST
alexnets,65,TEST
alexnets,66,FIT
alexnets,67,FIT
alexnets,68,FIT
alexnets,69,FIT
alexnets,70,FIT
alexnets,71,FIT
alexnets,72,TEST
alexnets,73,TEST
alexnets,74,TEST
alexnets,75,FIT
alexnets,76,TEST
alexnets,77,FIT
alexnets,78,TEST
alexnets,79,TEST
alexnets,80,FIT
alexnets,81,TEST
alexnets,82,FIT
alexnets,83,FIT
alexnets,84,TEST
alexnets,85,TEST
alexnets,86,FIT
alexnets,87,FIT
alexnets,88,FIT
alexnets,89,TEST
alexnets,90,FIT
alexnets,91,FIT
alexnets,92,TEST
alexnets,93,TEST
alexnets,94,FIT
alexnets,95,TEST
alexnets,96,FIT
alexnets,97,FIT
alexnets,98,FIT
alexnets,99,TEST
alexnets,100,FIT
alexnets,101,FIT
alexnets,102,TEST
alexnets,103,FIT
