space,vpu_partner,n,rho_S_within
alexnets,Pixel4 / CPU,1995,0.8982
alexnets,Pixel3XL / GPU,1995,0.8596
alexnets,Mi9 / GPU,1995,0.8592
densenets,Pixel4 / CPU,1976,0.9114
densenets,Pixel3XL / GPU,1976,0.9125
densenets,Mi9 / GPU,1976,0.9118
googlenets,Pixel4 / CPU,2000,0.9685
googlenets,Pixel3XL / GPU,2000,0.9788
googlenets,Mi9 / GPU,2000,0.9734
mnasnets,Pixel4 / CPU,1999,0.9009
mnasnets,Pixel3XL / GPU,1999,0.9256
mnasnets,Mi9 / GPU,1999,0.9197
mobilenetv1s,Pixel4 / CPU,1996,0.8515
mobilenetv1s,Pixel3XL / GPU,1996,0.8253
mobilenetv1s,Mi9 / GPU,1996,0.8001
mobilenetv2s,Pixel4 / CPU,1998,0.9631
mobilenetv2s,Pixel3XL / GPU,1998,0.9278
mobilenetv2s,Mi9 / GPU,1998,0.9156
mobilenetv3s,Pixel4 / CPU,2000,0.8853
mobilenetv3s,Pixel3XL / GPU,2000,0.9107
mobilenetv3s,Mi9 / GPU,2000,0.9009
proxylessnass,Pixel4 / CPU,2000,0.9641
proxylessnass,Pixel3XL / GPU,2000,0.9008
proxylessnass,Mi9 / GPU,2000,0.8757
resnets,Pixel4 / CPU,1869,0.915
resnets,Pixel3XL / GPU,1877,0.9209
resnets,Mi9 / GPU,1877,0.9393
shufflenetv2s,Pixel4 / CPU,1997,0.7365
shufflenetv2s,Pixel3XL / GPU,0,
shufflenetv2s,Mi9 / GPU,0,
squeezenets,Pixel4 / CPU,1999,0.9797
squeezenets,Pixel3XL / GPU,1999,0.9815
squeezenets,Mi9 / GPU,1999,0.9815
vggs,Pixel4 / CPU,1812,0.9614
vggs,Pixel3XL / GPU,1876,0.9664
vggs,Mi9 / GPU,1876,0.9666
