space,n_space,R2_Pixel4 / CPU,R2_Mi9 / GPU,R2_Pixel3XL / GPU,R2_Myriad / VPU
alexnets,1995,0.9791,0.997,0.9968,0.7161
densenets,1976,0.9332,0.994,0.9957,0.7717
googlenets,2000,0.9411,0.9905,0.9956,0.9654
mnasnets,1999,0.9446,0.9964,0.9967,0.865
mobilenetv1s,1996,0.9371,0.9942,0.9963,0.6828
mobilenetv2s,1998,0.9534,0.9952,0.9967,0.8651
mobilenetv3s,2000,0.9933,0.9967,0.9974,0.9659
proxylessnass,2000,0.9239,0.9899,0.996,0.8335
resnets,1868,0.9783,0.9954,0.9961,0.8593
squeezenets,1999,0.9832,0.9964,0.9972,0.9404
vggs,1812,0.9892,0.9975,0.9974,0.9442
