precision,n_subsample,reps,channel,backend,soc,R2_full,mean,bias,sd,p05,p95,range90,min,max,n_fail
fp32,50,300,SM-F926B / CPU,CPU,SD888,0.694,0.7003,0.0063,0.0776,0.5708,0.8208,0.2501,0.4459,0.9759,0
fp32,50,300,23106RN0DA / CPU,CPU,HelioMT6768,0.7389,0.743,0.0041,0.0729,0.6223,0.8508,0.2285,0.5266,0.9778,0
fp32,50,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.7284,0.7372,0.0089,0.0758,0.6187,0.8512,0.2325,0.4869,0.9889,0
fp32,50,300,SM-P613 / CPU,CPU,SD720G,0.7326,0.7396,0.007,0.0732,0.6097,0.8469,0.2372,0.4663,0.9864,0
fp32,50,300,STK-L21 / CPU,CPU,Kirin710,0.7462,0.7447,-0.0015,0.0717,0.632,0.8478,0.2158,0.4238,0.9281,0
fp32,50,300,SM-F926B / GPU,GPU,SD888,0.9908,0.989,-0.0018,0.02,0.9795,0.9967,0.0172,0.7653,0.9973,0
fp32,50,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9897,0.9882,-0.0016,0.0221,0.9791,0.9958,0.0167,0.732,0.997,0
fp32,50,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9962,0.9935,-0.0027,0.0224,0.9915,0.9971,0.0056,0.7425,0.9975,0
fp32,50,300,SM-P613 / GPU,GPU,SD720G,0.9954,0.9923,-0.0031,0.0226,0.987,0.9969,0.01,0.7385,0.9974,0
fp32,50,300,STK-L21 / GPU,GPU,Kirin710,0.95,0.9469,-0.003,0.0245,0.9209,0.9719,0.0511,0.7279,0.9819,0
fp32,100,300,SM-F926B / CPU,CPU,SD888,0.694,0.6927,-0.0013,0.0508,0.6069,0.7631,0.1562,0.5448,0.8334,0
fp32,100,300,23106RN0DA / CPU,CPU,HelioMT6768,0.7389,0.7364,-0.0025,0.0446,0.6569,0.8047,0.1478,0.614,0.8603,0
fp32,100,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.7284,0.7264,-0.002,0.0463,0.6513,0.7955,0.1442,0.5496,0.8812,0
fp32,100,300,SM-P613 / CPU,CPU,SD720G,0.7326,0.7297,-0.0029,0.0465,0.6524,0.7934,0.141,0.517,0.8643,0
fp32,100,300,STK-L21 / CPU,CPU,Kirin710,0.7462,0.7443,-0.0019,0.0455,0.6699,0.8132,0.1433,0.5379,0.8563,0
fp32,100,300,SM-F926B / GPU,GPU,SD888,0.9908,0.9906,-0.0002,0.004,0.9836,0.9957,0.0121,0.9706,0.9967,0
fp32,100,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9897,0.9899,0.0002,0.0034,0.9841,0.9946,0.0106,0.9652,0.9958,0
fp32,100,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9962,0.9959,-0.0003,0.002,0.9943,0.9968,0.0026,0.9666,0.9972,0
fp32,100,300,SM-P613 / GPU,GPU,SD720G,0.9954,0.9949,-0.0005,0.0025,0.9911,0.9966,0.0055,0.9661,0.9971,0
fp32,100,300,STK-L21 / GPU,GPU,Kirin710,0.95,0.9498,-0.0001,0.0108,0.9302,0.966,0.0358,0.9117,0.9755,0
fp32,200,300,SM-F926B / CPU,CPU,SD888,0.694,0.6938,-0.0002,0.0306,0.6411,0.7412,0.1001,0.5916,0.7658,0
fp32,200,300,23106RN0DA / CPU,CPU,HelioMT6768,0.7389,0.7383,-0.0006,0.027,0.6948,0.7837,0.089,0.6641,0.8049,0
fp32,200,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.7284,0.7284,0.0,0.0282,0.6747,0.7723,0.0976,0.6501,0.7949,0
fp32,200,300,SM-P613 / CPU,CPU,SD720G,0.7326,0.732,-0.0006,0.0299,0.6827,0.78,0.0974,0.6374,0.796,0
fp32,200,300,STK-L21 / CPU,CPU,Kirin710,0.7462,0.7441,-0.0021,0.0286,0.6961,0.7888,0.0927,0.6722,0.8183,0
fp32,200,300,SM-F926B / GPU,GPU,SD888,0.9908,0.9909,0.0001,0.0023,0.9868,0.9947,0.0079,0.9844,0.9961,0
fp32,200,300,23106RN0DA / GPU,GPU,HelioMT6768,0.9897,0.9899,0.0001,0.0021,0.9866,0.9931,0.0065,0.9824,0.9948,0
fp32,200,300,Redmi Note 9 Pro / GPU,GPU,SD720G,0.9962,0.9962,-0.0001,0.0004,0.9956,0.9966,0.001,0.9913,0.9968,0
fp32,200,300,SM-P613 / GPU,GPU,SD720G,0.9954,0.9953,-0.0001,0.0008,0.9937,0.9963,0.0026,0.988,0.9964,0
fp32,200,300,STK-L21 / GPU,GPU,Kirin710,0.95,0.9494,-0.0006,0.0063,0.9387,0.9586,0.0199,0.9318,0.9706,0
int8,50,300,SM-F926B / CPU,CPU,SD888,0.989,0.9862,-0.0027,0.0077,0.9705,0.9957,0.0252,0.9568,0.9975,0
int8,50,300,23106RN0DA / CPU,CPU,HelioMT6768,0.9934,0.9908,-0.0027,0.007,0.9769,0.9973,0.0204,0.9614,0.9984,0
int8,50,300,Redmi Note 9 Pro / CPU,CPU,SD720G,0.9844,0.9798,-0.0046,0.0125,0.953,0.9952,0.0422,0.9207,0.9961,0
int8,50,300,SM-P613 / CPU,CPU,SD720G,0.9847,0.9802,-0.0045,0.0123,0.9535,0.9953,0.0418,0.9217,0.9965,0
int8,50,300,STK-L21 / CPU,CPU,Kirin710,0.9075,0.9037,-0.0038,0.033,0.8415,0.9536,0.1121,0.7868,0.9796,0
int8,50,300,SM-F926B / GPU,GPU,SD888,0.9892,0.9896,0.0004,0.0071,0.9768,0.9969,0.0201,0.9497,0.9973,0
