param_a,param_b,corr,n,abs_corr
prm__batch,prm__steps_per_epoch,-0.5004580172563365,5466,0.5004580172563365
prm__momentum,prm__random_sigma,0.39059685527727744,863,0.39059685527727744
prm__bg_iou_thresh,prm__fg_iou_thresh,0.3627964476295186,3901,0.3627964476295186
prm__batch,prm__random_rho_initial,0.3621133926049814,863,0.3621133926049814
prm__momentum,prm__random_rho_initial,-0.34268048181162536,863,0.34268048181162536
prm__norm_eps,prm__iou_thresh,-0.34058063217940804,3380,0.34058063217940804
prm__norm_momentum,prm__detections_per_img,0.3286491339840616,3380,0.3286491339840616
prm__batch,prm__num_classes,-0.3198731552390515,582,0.3198731552390515
prm__beta2,prm__steps_per_epoch,0.31754030554788215,5466,0.31754030554788215
prm__iou_thresh,prm__neg_to_pos_ratio,0.3161606924338105,3380,0.3161606924338105
prm__batch_size,prm__weight_decay,0.31518612880248137,871,0.31518612880248137
prm__momentum,prm__center_sampling_radius,0.30996794717010634,1364,0.30996794717010634
prm__lr,prm__random_rho_initial,0.30460512030647746,863,0.30460512030647746
prm__lr,prm__random_beta,-0.2956977327793853,863,0.2956977327793853
prm__momentum,prm__batch_size,-0.2901208710992457,871,0.2901208710992457
prm__lr,prm__batch_size,-0.2813586074144731,871,0.2813586074144731
prm__norm_eps,prm__pretrained,-0.2775606668450976,3380,0.2775606668450976
prm__batch,prm__kld_warmup_epochs,0.24937161303428262,3912,0.24937161303428262
prm__beta1,prm__kld_warmup_epochs,0.24900387899576396,3912,0.24900387899576396
prm__nms_thresh,prm__neg_to_pos_ratio,0.2479612597898625,3380,0.2479612597898625
prm__lr,prm__steps_per_epoch,0.24749558419107281,5466,0.24749558419107281
prm__norm_eps,prm__stochastic_depth_prob,0.23231279209508238,2692,0.23231279209508238
prm__detections_per_img,prm__bg_iou_thresh,0.22990745441192662,2735,0.22990745441192662
prm__pretrained,prm__iou_thresh,0.2239062929256433,3380,0.2239062929256433
prm__lr,prm__detections_per_img,0.21955920661927045,7479,0.21955920661927045
prm__lr,prm__fg_iou_thresh,-0.2150514746633074,3901,0.2150514746633074
prm__score_thresh,prm__positive_fraction,0.21478954073801296,1166,0.21478954073801296
prm__pretrained,prm__fg_iou_thresh,0.21281580228668984,3901,0.21281580228668984
prm__beta1,prm__beta2,-0.20709445574579247,9378,0.20709445574579247
prm__lr,prm__batch_size_per_image,-0.20481102422514882,1166,0.20481102422514882
prm__momentum,prm__num_classes,-0.20143246368881434,582,0.20143246368881434
prm__batch,prm__dropout_aux,0.2008389653725501,4191,0.2008389653725501
prm__lr,prm__kld_warmup_epochs,-0.19941647583189334,3912,0.19941647583189334
prm__lr,prm__weight_decay,-0.19256542574987273,9951,0.19256542574987273
prm__momentum,prm__kernel_size,-0.19096859684346257,890,0.19096859684346257
prm__batch,prm__beta1,0.18929384106287375,10311,0.18929384106287375
prm__batch,prm__patch_size,0.1882246230097863,4862,0.1882246230097863
prm__batch_size_per_image,prm__positive_fraction,0.1762251211952097,1166,0.1762251211952097
prm__mixup_alpha,prm__warmup_epochs,-0.17425001466197645,2422,0.17425001466197645
prm__center_sampling_radius,prm__detections_per_img,0.16693759598383642,1364,0.16693759598383642
prm__random_beta,prm__random_rho_initial,0.16191873265557616,863,0.16191873265557616
prm__norm_momentum,prm__nms_thresh,0.160837381074247,3380,0.160837381074247
prm__topk_candidates,prm__neg_to_pos_ratio,0.15747392210622826,3380,0.15747392210622826
prm__pretrained,prm__bg_iou_thresh,0.15372501355248222,3901,0.15372501355248222
prm__norm_eps,prm__score_thresh,-0.15290638751026472,3380,0.15290638751026472
prm__norm_eps,prm__norm_std,-0.15205461894802072,2692,0.15205461894802072
prm__lr,prm__num_classes,0.1486415495873649,582,0.1486415495873649
prm__bg_iou_thresh,prm__positive_fraction,0.14841798216938518,1166,0.14841798216938518
prm__momentum,prm__positive_fraction,-0.14755782152096822,1166,0.14755782152096822
prm__lr,prm__momentum,-0.14496103323653206,567835,0.14496103323653206
prm__topk_candidates,prm__iou_thresh,0.1448244634403208,3380,0.1448244634403208
prm__batch,prm__kernel_size,-0.1421073253881334,890,0.1421073253881334
prm__lr,prm__mixup_alpha,-0.1415956777887605,2422,0.1415956777887605
prm__pretrained,prm__neg_to_pos_ratio,0.14028279260545617,3380,0.14028279260545617
prm__lr,prm__random_sigma,-0.137964712217103,863,0.137964712217103
prm__batch,prm__random_beta,-0.13500671751926183,863,0.13500671751926183
prm__lr,prm__norm_momentum,0.1343164527976246,5543,0.1343164527976246
prm__fg_iou_thresh,prm__positive_fraction,0.13301193438432043,1166,0.13301193438432043
prm__batch,prm__lr,0.1302605427679762,578595,0.1302605427679762
prm__norm_momentum,prm__iou_thresh,0.1296941522844239,3380,0.1296941522844239
prm__dropout,prm__num_classes,-0.12853154416145882,582,0.12853154416145882
prm__norm_momentum,prm__pretrained,-0.12579550813864762,3380,0.12579550813864762
prm__beta2,prm__kld_warmup_epochs,0.1255401767813925,3912,0.1255401767813925
prm__batch,prm__beta2,-0.12453234439733032,9378,0.12453234439733032
prm__lr,prm__kernel_size,0.12421926012480025,890,0.12421926012480025
prm__momentum,prm__norm_std,-0.1223226102789957,2692,0.1223226102789957
prm__batch,prm__fg_iou_thresh,-0.12094384797904328,3901,0.12094384797904328
prm__lr,prm__positive_fraction,0.11889358226964888,1166,0.11889358226964888
prm__batch_size_per_image,prm__bg_iou_thresh,-0.11696617488018653,1166,0.11696617488018653
prm__batch,prm__lr_schedule,0.11409823312735753,5439,0.11409823312735753
prm__dropout,prm__stochastic_depth_prob,0.11402747069164106,5112,0.11402747069164106
prm__momentum,prm__detections_per_img,0.11323804959113375,7479,0.11323804959113375
prm__pretrained,prm__topk_candidates,0.10539974351359688,7479,0.10539974351359688
prm__batch,prm__center_sampling_radius,-0.10505305287334053,1364,0.10505305287334053
prm__norm_std,prm__stochastic_depth_prob,-0.10375946736235957,2692,0.10375946736235957
prm__random_rho_initial,prm__random_sigma,0.10236411083264245,863,0.10236411083264245
prm__batch,prm__topk_candidates,0.1015246022455464,7479,0.1015246022455464
prm__norm_momentum,prm__topk_candidates,-0.10141289199368418,3380,0.10141289199368418
prm__momentum,prm__batch_size_per_image,0.10125341060083079,1166,0.10125341060083079
prm__momentum,prm__topk_candidates,-0.10069752286688827,7479,0.10069752286688827
prm__attention_dropout,prm__patch_size,0.10050392178634969,4862,0.10050392178634969
prm__norm_eps,prm__neg_to_pos_ratio,-0.0982308431145881,3380,0.0982308431145881
prm__lr,prm__lr_schedule,-0.09426791987193836,5439,0.09426791987193836
prm__weight_decay,prm__warmup_epochs,-0.0916049439212882,2422,0.0916049439212882
prm__momentum,prm__stochastic_depth_prob,0.09145170105226942,7803,0.09145170105226942
prm__norm_eps,prm__nms_thresh,0.0903430130040735,3380,0.0903430130040735
prm__momentum,prm__patch_size,0.08994526301060314,4862,0.08994526301060314
prm__score_thresh,prm__neg_to_pos_ratio,-0.0897809935521942,3380,0.0897809935521942
prm__lr,prm__pretrained,-0.08878107443152015,8645,0.08878107443152015
prm__nms_thresh,prm__topk_candidates,-0.08872384230651074,7479,0.08872384230651074
prm__lr,prm__topk_candidates,-0.08750375457247786,7479,0.08750375457247786
prm__lr,prm__bg_iou_thresh,0.08728070948462988,3901,0.08728070948462988
prm__random_beta,prm__random_sigma,-0.08614207734095372,863,0.08614207734095372
prm__dropout,prm__patch_size,-0.08553439054634143,4862,0.08553439054634143
prm__lr,prm__iou_thresh,0.08436380250502701,3380,0.08436380250502701
prm__momentum,prm__lr_schedule,0.08338343541184179,5439,0.08338343541184179
prm__batch,prm__random_sigma,-0.08270995512813321,863,0.08270995512813321
prm__momentum,prm__fg_iou_thresh,-0.08248038168626255,3901,0.08248038168626255
prm__detections_per_img,prm__topk_candidates,-0.08234262902188678,7479,0.08234262902188678
