,corr,n,abs_corr
prm__steps_per_epoch,0.5582861872762019,5466,0.5582861872762019
prm__version,-0.5499447333979357,156,0.5499447333979357
prm__timesteps,-0.49801192055599736,55,0.49801192055599736
prm__epochs,-0.49801192055599736,55,0.49801192055599736
prm__random_rho_initial,-0.3702803279851308,863,0.3702803279851308
prm__iou_thresh,-0.3679135694672178,3380,0.3679135694672178
prm__random_beta,-0.3023333277108888,863,0.3023333277108888
prm__bg_iou_thresh,0.28259892968353284,3901,0.28259892968353284
prm__batch_size,-0.26866287641944997,871,0.26866287641944997
prm__num_classes,0.25206313677468584,582,0.25206313677468584
prm__center_sampling_radius,0.247966398103375,1364,0.247966398103375
prm__kernel_size,-0.20852406610255844,890,0.20852406610255844
prm__random_sigma,0.20660521145728408,863,0.20660521145728408
prm__lr,0.1649147412533346,578595,0.1649147412533346
prm__patch_size,-0.1524874335838842,4862,0.1524874335838842
prm__nms_thresh,0.15177267855866258,8645,0.15177267855866258
prm__score_thresh,-0.14949338863334638,8645,0.14949338863334638
prm__beta1,-0.1386241628326199,10311,0.1386241628326199
prm__attention_dropout,-0.13425496074857388,9973,0.13425496074857388
prm__tie_weights,-0.10167935133499623,7696,0.10167935133499623
prm__beta2,0.09220274669580182,9378,0.09220274669580182
prm__dropout_aux,0.09097446038061517,4191,0.09097446038061517
prm__warmup_epochs,-0.09063304781668226,2422,0.09063304781668226
prm__weight_decay,0.06968188019798363,9951,0.06968188019798363
prm__lr_schedule,-0.06296057680239876,5439,0.06296057680239876
prm__epoch,-0.054116785399457946,9606,0.054116785399457946
prm__norm_momentum,0.05360049199391688,5543,0.05360049199391688
prm__mixup_alpha,-0.04547786802165283,2422,0.04547786802165283
prm__norm_eps,0.043345663210138864,8235,0.043345663210138864
prm__momentum,0.04290606469733909,567835,0.04290606469733909
prm__positive_fraction,0.036285875179544895,1166,0.036285875179544895
prm__kld_warmup_epochs,0.036028633184842236,3912,0.036028633184842236
prm__fg_iou_thresh,0.03576074232802498,3901,0.03576074232802498
prm__topk_candidates,-0.02861821414076878,7479,0.02861821414076878
prm__pretrained,-0.023234590862910756,8645,0.023234590862910756
prm__norm_std,-0.023053597248267856,2692,0.023053597248267856
prm__stochastic_depth_prob,0.016720589128606068,7803,0.016720589128606068
prm__batch_size_per_image,-0.00838995500235303,1166,0.00838995500235303
prm__batch,-0.006155863521579164,578595,0.006155863521579164
prm__dropout,-0.005610024838503549,374503,0.005610024838503549
prm__neg_to_pos_ratio,-0.0019144971401604805,3380,0.0019144971401604805
prm__detections_per_img,-0.0013593854500573777,7479,0.0013593854500573777
