,corr,n,abs_corr
prm__iou_thresh,-0.3679135694672178,3380,0.3679135694672178
prm__bg_iou_thresh,0.28259892968353284,3901,0.28259892968353284
prm__center_sampling_radius,0.247966398103375,1364,0.247966398103375
prm__norm_eps,0.24615623088709393,3380,0.24615623088709393
prm__nms_thresh,0.15177267855866258,8645,0.15177267855866258
prm__batch,-0.15151911816175478,8645,0.15151911816175478
prm__score_thresh,-0.14949338863334638,8645,0.14949338863334638
prm__norm_momentum,0.10842925312190918,3380,0.10842925312190918
prm__positive_fraction,0.036285875179544895,1166,0.036285875179544895
prm__fg_iou_thresh,0.03576074232802498,3901,0.03576074232802498
prm__topk_candidates,-0.02861821414076878,7479,0.02861821414076878
prm__lr,-0.02776297018231251,8645,0.02776297018231251
prm__pretrained,-0.023234590862910756,8645,0.023234590862910756
prm__batch_size_per_image,-0.00838995500235303,1166,0.00838995500235303
prm__momentum,-0.004792407852725202,8645,0.004792407852725202
prm__neg_to_pos_ratio,-0.0019144971401604805,3380,0.0019144971401604805
prm__detections_per_img,-0.0013593854500573777,7479,0.0013593854500573777
