,corr,n,abs_corr
prm__random_rho_initial,-0.3702803279851308,863,0.3702803279851308
prm__random_beta,-0.3023333277108888,863,0.3023333277108888
prm__batch_size,-0.26866287641944997,871,0.26866287641944997
prm__num_classes,0.25206313677468584,582,0.25206313677468584
prm__kernel_size,-0.20852406610255844,890,0.20852406610255844
prm__random_sigma,0.20660521145728408,863,0.20660521145728408
prm__patch_size,-0.1524874335838842,4862,0.1524874335838842
prm__attention_dropout,-0.13425496074857388,9973,0.13425496074857388
prm__lr,0.11952748528557995,449672,0.11952748528557995
prm__dropout_aux,0.09097446038061517,4191,0.09097446038061517
prm__warmup_epochs,-0.09063304781668226,2422,0.09063304781668226
prm__norm_eps,-0.07135948711584153,4855,0.07135948711584153
prm__weight_decay,0.06968188019798363,9951,0.06968188019798363
prm__lr_schedule,-0.06296057680239876,5439,0.06296057680239876
prm__mixup_alpha,-0.04547786802165283,2422,0.04547786802165283
prm__batch,-0.03406531303653219,449672,0.03406531303653219
prm__momentum,0.028685393212995833,449278,0.028685393212995833
prm__norm_std,-0.023053597248267856,2692,0.023053597248267856
prm__epoch,-0.01928177389138671,9572,0.01928177389138671
prm__stochastic_depth_prob,0.016720589128606068,7803,0.016720589128606068
prm__norm_momentum,-0.010906648720107054,2163,0.010906648720107054
prm__dropout,-0.0030769828015391135,333839,0.0030769828015391135
