,corr,n,abs_corr
prm__steps_per_epoch,0.5582861872762019,5466,0.5582861872762019
prm__version,-0.5499447333979357,156,0.5499447333979357
prm__epochs,-0.49801192055599736,55,0.49801192055599736
prm__timesteps,-0.49801192055599736,55,0.49801192055599736
prm__batch,-0.32362345382339125,10522,0.32362345382339125
prm__momentum,0.29569586039775736,156,0.29569586039775736
prm__beta1,-0.1386241628326199,10311,0.1386241628326199
prm__beta2,0.09220274669580182,9378,0.09220274669580182
prm__lr,-0.08398235430569694,10522,0.08398235430569694
prm__kld_warmup_epochs,0.036028633184842236,3912,0.036028633184842236
