,corr,n,abs_corr
prm__iou_thresh,-0.27539156740208925,118,0.27539156740208925
prm__pretrained,0.22394556665163642,429,0.22394556665163642
prm__lr,0.15368368906246174,429,0.15368368906246174
prm__bg_iou_thresh,0.10259243415187974,263,0.10259243415187974
prm__norm_momentum,0.09241408770235193,118,0.09241408770235193
prm__batch,-0.06880752335423901,429,0.06880752335423901
prm__nms_thresh,0.061593981690015336,429,0.061593981690015336
prm__topk_candidates,-0.05336339156508116,269,0.05336339156508116
prm__score_thresh,-0.053018108595882574,429,0.053018108595882574
prm__neg_to_pos_ratio,-0.03496205581773785,118,0.03496205581773785
prm__batch_size_per_image,0.023124926754951366,160,0.023124926754951366
prm__norm_eps,0.01349983764235489,118,0.01349983764235489
prm__detections_per_img,0.008372457168203881,269,0.008372457168203881
prm__positive_fraction,-0.001292042657916325,160,0.001292042657916325
prm__fg_iou_thresh,0.0005897367986200143,263,0.0005897367986200143
prm__momentum,0.0001983607654704582,429,0.0001983607654704582
