,corr,n,abs_corr
prm__steps_per_epoch,0.5774093328001476,58,0.5774093328001476
prm__iou_thresh,-0.3992673992673993,64,0.3992673992673993
prm__bg_iou_thresh,0.30449848658803885,66,0.30449848658803885
prm__lr,0.21803431350172298,5722,0.21803431350172298
prm__nms_thresh,0.16617251760453572,158,0.16617251760453572
prm__attention_dropout,-0.16401747786227314,176,0.16401747786227314
prm__patch_size,-0.15410061653358811,87,0.15410061653358811
prm__score_thresh,-0.15278561638313312,158,0.15278561638313312
prm__tie_weights,-0.1408921614795154,141,0.1408921614795154
prm__beta2,0.12956690020810188,100,0.12956690020810188
prm__dropout_aux,0.11089542036910457,76,0.11089542036910457
prm__beta1,-0.09298414874235121,110,0.09298414874235121
prm__pretrained,-0.08653827258727914,158,0.08653827258727914
prm__fg_iou_thresh,-0.08059701492537313,66,0.08059701492537313
prm__norm_eps,0.07891774214824161,141,0.07891774214824161
prm__momentum,0.06144949626015045,5605,0.06144949626015045
prm__batch,0.05750153849682503,5722,0.05750153849682503
prm__weight_decay,0.05672122760251403,193,0.05672122760251403
prm__norm_momentum,0.040274287112921636,98,0.040274287112921636
prm__topk_candidates,-0.03775654806088709,146,0.03775654806088709
prm__neg_to_pos_ratio,0.028434065934065934,64,0.028434065934065934
prm__dropout,-0.02708107505149963,2459,0.02708107505149963
prm__detections_per_img,-0.02009582293002227,146,0.02009582293002227
prm__lr_schedule,-0.01718577690535202,109,0.01718577690535202
prm__stochastic_depth_prob,0.012614584667754603,132,0.012614584667754603
