,corr,n,abs_corr
prm__bg_iou_thresh,0.3807932525489777,131,0.3807932525489777
prm__iou_thresh,-0.3191920218741246,84,0.3191920218741246
prm__fg_iou_thresh,0.2613943308599797,131,0.2613943308599797
prm__norm_momentum,0.1878094469069988,84,0.1878094469069988
prm__norm_eps,0.1655343494249029,84,0.1655343494249029
prm__nms_thresh,0.1264054660152027,249,0.1264054660152027
prm__batch,-0.11426897804694856,249,0.11426897804694856
prm__pretrained,0.11068455203652235,249,0.11068455203652235
prm__score_thresh,-0.08932176184195653,249,0.08932176184195653
prm__neg_to_pos_ratio,0.07819571720646676,84,0.07819571720646676
prm__lr,0.06554475532406799,249,0.06554475532406799
prm__momentum,-0.0547339865297042,249,0.0547339865297042
prm__topk_candidates,-0.04476315898010486,180,0.04476315898010486
prm__positive_fraction,0.01940080379978078,69,0.01940080379978078
prm__batch_size_per_image,0.014614541468761417,69,0.014614541468761417
prm__detections_per_img,0.01344705543509172,180,0.01344705543509172
