dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman
celeba-gender,accuracy_epoch_5,prm__batch,9734,0.275971,0.0,-0.299749,0.0,0.299749
celeba-gender,accuracy_epoch_5,prm__lr,9734,0.213657,0.0,0.466612,0.0,0.466612
celeba-gender,accuracy_epoch_5,nn_max_depth,9640,0.150582,0.0,0.119757,0.0,0.119757
celeba-gender,accuracy_epoch_5,nn_total_layers,9640,0.122493,0.0,0.088794,0.0,0.088794
celeba-gender,accuracy_epoch_5,nn_dropout_count,9640,0.115238,0.0,-0.116017,0.0,0.116017
celeba-gender,accuracy_epoch_5,nn_total_params,9640,0.093986,0.0,-0.096565,0.0,0.096565
celeba-gender,accuracy_epoch_5,nn_has_residual,9640,0.05564,0.0,0.059452,0.0,0.059452
celeba-gender,accuracy_epoch_5,nn_flops,9640,0.054726,0.0,0.049281,1e-06,0.049281
celeba-gender,accuracy_epoch_5,prm__momentum,9734,0.033873,0.0,0.030411,0.002693,0.030411
celeba-gender,accuracy_epoch_5,nn_has_attention,9640,0.023364,0.001581,0.011668,0.252004,0.011668
celeba-gender,accuracy_epoch_5,prm__dropout,8355,0.013911,0.548295,0.002683,0.806278,0.002683
