feature,mean_dcor,mean_abs_spearman,n_tests
prm__batch,0.22753480952380953,0.2062234761904762,21
nn_total_layers,0.17360833333333334,0.16568790476190476,21
prm__lr,0.1701777619047619,0.3116442380952381,21
nn_total_params,0.1683642380952381,0.18195252380952381,21
nn_max_depth,0.16793566666666665,0.1390737619047619,21
nn_dropout_count,0.16437357142857142,0.14934714285714287,21
nn_flops,0.12655276190476192,0.17605438095238096,21
nn_has_residual,0.09405023809523809,0.0864890476190476,21
prm__momentum,0.0721482380952381,0.05622166666666667,21
nn_has_attention,0.07206433333333334,0.06733347619047618,21
prm__dropout,0.06584447619047619,0.0321767619047619,21
