dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,delta_exploratory,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
mnist,accuracy_epoch_5,nn_dropout_count,167,0.596817,0.0,0.229671,0.002829,0.229671,0.367146,0.0,True,0.006005421052631578,True
cifar-10,accuracy_epoch_1,nn_total_layers,11958,0.786533,0.0,0.445782,0.0,0.445782,0.340752,0.0,True,0.0,True
cifar-10,best_accuracy,nn_dropout_count,9881,0.380484,0.0,0.087987,0.0,0.087987,0.292497,0.0,True,0.0,True
cifar-100,best_accuracy,nn_dropout_count,118,0.365347,0.0,0.074193,0.424604,0.074193,0.291155,0.0,True,0.5242559591836734,False
cifar-10,accuracy_epoch_1,prm__lr,42832,0.260756,0.0,0.017389,0.00032,0.017389,0.243367,0.0,True,0.0007822222222222223,True
cifar-10,accuracy_epoch_1,nn_flops,11958,0.518401,0.0,0.290465,0.0,0.290465,0.227936,0.0,True,0.0,True
cifar-10,best_accuracy,nn_total_layers,9881,0.77644,0.0,0.550656,0.0,0.550656,0.225785,0.0,True,0.0,True
mnist,best_accuracy,nn_dropout_count,132,0.498289,0.0,0.278041,0.001247,0.278041,0.220248,0.0,True,0.002874038095238096,True
cifar-10,accuracy_epoch_1,nn_dropout_count,11958,0.382477,0.0,0.165391,0.0,0.165391,0.217086,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,nn_has_residual,11958,0.562311,0.0,0.354654,0.0,0.354654,0.207656,0.0,True,0.0,True
cifar-100,accuracy_epoch_5,nn_dropout_count,152,0.343201,0.0,0.144813,0.075071,0.144813,0.198388,0.0,True,0.11873975163398694,False
cifar-100,accuracy_epoch_1,prm__weight_decay,33,0.259742,0.534593,-0.068689,0.704077,0.068689,0.191053,0.6190024210526315,False,0.7827223577981651,False
mnist,best_accuracy,prm__batch,3699,0.32781,0.0,-0.140495,0.0,0.140495,0.187316,0.0,True,0.0,True
imagenette,accuracy_epoch_50,prm__batch,639,0.20886,0.0,-0.030196,0.44607,0.030196,0.178665,0.0,True,0.54288344,False
places365,accuracy_epoch_50,prm__dropout,35,0.183341,0.77116,0.006723,0.969426,0.006723,0.176618,0.8185119298245613,False,0.9815945271966527,False
mnist,accuracy_epoch_1,nn_dropout_count,286,0.410524,0.0,0.243766,3.1e-05,0.243766,0.166758,0.0,True,8.243956043956044e-05,True
imagenette,accuracy_epoch_5,nn_total_layers,127,0.181973,0.649416,0.01527,0.864702,0.01527,0.166703,0.7198580180995474,False,0.9032816896551724,False
places365,accuracy_epoch_50,prm__momentum,88,0.205743,0.222738,-0.040911,0.705097,0.040911,0.164833,0.3152198596491228,False,0.7827223577981651,False
svhn,accuracy_epoch_5,nn_dropout_count,127,0.220947,0.033219,0.059357,0.507399,0.059357,0.16159,0.05359331999999999,False,0.6048795960591133,False
cifar-100,accuracy_epoch_1,nn_dropout_count,299,0.152138,0.015883,-5.4e-05,0.999254,5.4e-05,0.152083,0.02669226388888889,True,0.999254,False
cifar-10,accuracy_epoch_1,nn_max_depth,11958,0.585057,0.0,0.43492,0.0,0.43492,0.150136,0.0,True,0.0,True
imagenette,best_accuracy,nn_total_layers,91,0.209579,0.865404,0.059535,0.575088,0.059535,0.150044,0.8702701576763486,False,0.6723251014492754,False
cifar-100,best_accuracy,nn_total_layers,118,0.173574,0.486656,-0.024664,0.79093,0.024664,0.14891,0.5931479313725491,False,0.862184954954955,False
celeba-gender,best_accuracy,nn_total_layers,2338,0.158697,0.0,0.010645,0.606922,0.010645,0.148052,0.0,True,0.7027517894736842,False
cifar-10,accuracy_epoch_1,prm__dropout,32938,0.232949,0.0,-0.085377,0.0,0.085377,0.147573,0.0,True,0.0,True
imagenette,accuracy_epoch_1,prm__lr,18088,0.161346,0.0,0.013925,0.061105,0.013925,0.147421,0.0,True,0.09858273333333332,False
mnist,accuracy_epoch_1,nn_max_depth,286,0.23725,0.0,-0.095812,0.105888,0.095812,0.141438,0.0,True,0.15817837037037036,False
cifar-10,best_accuracy,nn_flops,9881,0.521163,0.0,0.381706,0.0,0.381706,0.139457,0.0,True,0.0,True
celeba-gender,accuracy_epoch_50,nn_total_params,46,0.203763,0.568692,0.066804,0.659131,0.066804,0.136959,0.6461195492957745,False,0.7419055906976745,False
cifar-10,best_accuracy,prm__momentum,14605,0.148537,0.0,-0.013494,0.102941,0.013494,0.135042,0.0,True,0.15569826250000002,False
imagenette,best_accuracy,prm__lr,3234,0.194144,0.0,0.064032,0.000269,0.064032,0.130111,0.0,True,0.0006711134020618556,True
mnist,accuracy_epoch_5,nn_total_params,167,0.328028,0.0,0.198328,0.010191,0.198328,0.1297,0.0,True,0.018970938461538463,True
cifar-10,accuracy_epoch_1,prm__batch,42832,0.435589,0.0,-0.305994,0.0,0.305994,0.129595,0.0,True,0.0,True
cifar-10,best_accuracy,prm__dropout,12837,0.173587,0.0,-0.048005,0.0,0.048005,0.125582,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_max_depth,167,0.283223,0.0,-0.158386,0.040919,0.158386,0.124837,0.0,True,0.06876665277777777,False
cifar-10,best_accuracy,prm__lr,14607,0.137887,0.0,0.016163,0.050767,0.016163,0.121724,0.0,True,0.08301090540540541,False
cifar-10,accuracy_epoch_5,nn_max_depth,2787,0.173022,0.0,-0.053701,0.004572,0.053701,0.119321,0.0,True,0.009297680672268906,True
mnist,best_accuracy,nn_total_params,132,0.337759,0.0,0.223749,0.009908,0.223749,0.11401,0.0,True,0.018632124031007752,True
mnist,accuracy_epoch_5,nn_total_layers,167,0.247371,0.029741,0.136182,0.07929,0.136182,0.111189,0.04863055405405405,True,0.12459857142857142,False
cifar-100,accuracy_epoch_5,nn_has_residual,152,0.153221,0.43953,-0.046856,0.566492,0.046856,0.106365,0.551120518134715,False,0.6654906019417475,False
cifar-10,accuracy_epoch_5,nn_flops,2787,0.210129,0.0,0.105141,0.0,0.105141,0.104989,0.0,True,0.0,True
cifar-100,best_accuracy,nn_has_residual,118,0.115011,0.808482,-0.010193,0.912771,0.010193,0.104818,0.8359781872340425,False,0.9399599234042553,False
