dataset,target,feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant
cifar-10,accuracy_epoch_1,nn_total_layers,42577,0.507468,0.0,0.285559,0.0,0.285559,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,prm__batch,42783,0.436139,0.0,-0.305918,0.0,0.305918,0.0,True,0.0,True
cifar-100,accuracy_epoch_50,nn_total_layers,387,0.42094,0.0,0.40052,0.0,0.40052,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_dropout_count,16467,0.40439,0.0,0.390802,0.0,0.390802,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,nn_flops,42577,0.396494,0.0,0.271203,0.0,0.271203,0.0,True,0.0,True
mnist,accuracy_epoch_5,nn_total_params,16467,0.395081,0.0,0.376473,0.0,0.376473,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,prm__momentum,42783,0.383297,0.0,0.371705,0.0,0.371705,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,nn_max_depth,42577,0.383029,0.0,0.345925,0.0,0.345925,0.0,True,0.0,True
mnist,accuracy_epoch_1,prm__batch,21395,0.364289,0.0,-0.329221,0.0,0.329221,0.0,True,0.0,True
cifar-10,accuracy_epoch_1,nn_has_residual,42577,0.358737,0.0,0.258067,0.0,0.258067,0.0,True,0.0,True
places365,accuracy_epoch_50,nn_has_residual,87,0.329452,0.0,0.326433,0.002031,0.326433,0.0,True,0.003026845161290322,True
cifar-100,accuracy_epoch_50,nn_max_depth,387,0.323681,0.0,0.234146,3e-06,0.234146,0.0,True,5.4140625e-06,True
places365,accuracy_epoch_50,nn_total_layers,87,0.315263,3e-06,0.352367,0.000816,0.352367,4.3043478260869565e-06,True,0.0012736216216216215,True
celeba-gender,accuracy_epoch_1,prm__batch,14388,0.302867,0.0,-0.330588,0.0,0.330588,0.0,True,0.0,True
places365,accuracy_epoch_50,nn_max_depth,87,0.299296,4.6e-05,0.267365,0.012297,0.267365,6.479268292682926e-05,True,0.017215800000000003,True
imagenette,accuracy_epoch_5,nn_total_params,13783,0.294202,0.0,0.302244,0.0,0.302244,0.0,True,0.0,True
cifar-10,accuracy_epoch_50,nn_total_layers,2039,0.290972,0.0,0.347676,0.0,0.347676,0.0,True,0.0,True
cifar-10,accuracy_epoch_50,nn_flops,2039,0.282652,0.0,0.528872,0.0,0.528872,0.0,True,0.0,True
imagenette,accuracy_epoch_5,nn_dropout_count,13783,0.280154,0.0,0.273944,0.0,0.273944,0.0,True,0.0,True
