dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman
places365,accuracy_epoch_5,prm__lr,1092,0.283311,0.004975,0.447334,0.0,0.447334
places365,accuracy_epoch_5,nn_total_params,1089,0.197272,0.004975,0.198469,0.0,0.198469
places365,accuracy_epoch_5,nn_dropout_count,1089,0.169032,0.004975,0.218122,0.0,0.218122
places365,accuracy_epoch_5,nn_flops,1089,0.166115,0.004975,0.142878,2e-06,0.142878
places365,accuracy_epoch_5,nn_total_layers,1089,0.144145,0.029851,0.020757,0.493803,0.020757
places365,accuracy_epoch_5,prm__dropout,803,0.141713,0.422886,-0.011214,0.751017,0.011214
places365,accuracy_epoch_5,nn_max_depth,1089,0.141501,0.024876,-0.048203,0.111881,0.048203
places365,accuracy_epoch_5,prm__momentum,1092,0.1344,0.288557,0.038862,0.199416,0.038862
places365,accuracy_epoch_5,prm__batch,1092,0.132178,0.114428,0.084744,0.005075,0.084744
places365,accuracy_epoch_5,nn_has_attention,1089,0.116029,0.084577,-0.118855,8.4e-05,0.118855
places365,accuracy_epoch_5,nn_has_residual,1089,0.110984,0.706468,0.042452,0.161528,0.042452
