dataset,target,feature,n_samples,mic,mas,tic,mic_pval,spearman,spearman_pval,abs_spearman,delta_exploratory,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
cifar-10,accuracy_epoch_5,nn_flops,2787,0.667114,0.474627,97.549599,0.004975,0.105141,0.0,0.105141,0.561973,0.00995,True,0.0,True
cifar-10,accuracy_epoch_5,nn_total_params,2787,0.678419,0.46792,108.80176,0.004975,0.374655,0.0,0.374655,0.303764,0.00995,True,0.0,True
cifar-10,best_accuracy,nn_total_params,9881,0.38373,0.260578,163.795984,0.004975,0.094551,0.0,0.094551,0.289179,0.00995,True,0.0,True
cifar-10,accuracy_epoch_1,nn_total_params,11958,0.415446,0.265712,204.866241,0.004975,0.142874,0.0,0.142874,0.272572,0.00995,True,0.0,True
cifar-10,accuracy_epoch_1,prm__lr,42832,0.259434,0.160331,426.869903,0.004975,0.017389,0.00032,0.017389,0.242046,0.00995,True,0.0007822222222222223,True
cifar-10,best_accuracy,prm__momentum,14605,0.240749,0.154096,141.810841,0.004975,-0.013494,0.102941,0.013494,0.227255,0.00995,True,0.15569826250000002,False
cifar-100,best_accuracy,nn_dropout_count,118,0.284838,0.111021,3.459983,0.014925,0.074193,0.424604,0.074193,0.210646,0.0273625,True,0.5242559591836734,False
mnist,best_accuracy,nn_flops,132,0.298108,0.152386,3.688171,0.024876,0.089109,0.309595,0.089109,0.208999,0.04330929496402877,True,0.4028063978494624,False
celeba-gender,best_accuracy,nn_total_layers,2338,0.210265,0.060025,41.689679,0.004975,0.010645,0.606922,0.010645,0.19962,0.00995,True,0.7027517894736842,False
cifar-100,accuracy_epoch_50,prm__dropout,198,0.278733,0.077076,4.106075,0.00995,0.084298,0.237695,0.084298,0.194435,0.018665891472868217,True,0.32498412429378526,False
cifar-10,best_accuracy,nn_dropout_count,9881,0.280469,0.129833,156.374679,0.004975,0.087987,0.0,0.087987,0.192482,0.00995,True,0.0,True
cifar-10,best_accuracy,prm__lr,14607,0.207348,0.120595,142.922687,0.004975,0.016163,0.050767,0.016163,0.191184,0.00995,True,0.08301090540540541,False
svhn,accuracy_epoch_5,nn_dropout_count,127,0.239397,0.161973,2.477805,0.004975,0.059357,0.507399,0.059357,0.180039,0.00995,True,0.6048795960591133,False
cifar-10,accuracy_epoch_5,nn_total_layers,2787,0.55975,0.229023,104.068697,0.004975,0.394217,0.0,0.394217,0.165532,0.00995,True,0.0,True
svhn,best_accuracy,nn_max_depth,250,0.188325,0.134118,3.038111,0.004975,0.024497,0.699905,0.024497,0.163828,0.00995,True,0.7827223577981651,False
cifar-10,accuracy_epoch_1,nn_total_layers,11958,0.601873,0.123206,442.339522,0.004975,0.445782,0.0,0.445782,0.156092,0.00995,True,0.0,True
svhn,accuracy_epoch_1,nn_dropout_count,433,0.161227,0.143397,3.732908,0.004975,-0.005798,0.904239,0.005798,0.155429,0.00995,True,0.9354985726495727,False
cifar-10,accuracy_epoch_1,nn_flops,11958,0.444644,0.108596,289.152114,0.004975,0.290465,0.0,0.290465,0.154179,0.00995,True,0.0,True
mnist,best_accuracy,nn_total_layers,132,0.276982,0.045786,4.041396,0.004975,0.133124,0.128082,0.133124,0.143858,0.00995,True,0.1878536,False
cifar-100,accuracy_epoch_5,nn_dropout_count,152,0.28602,0.123356,4.404235,0.004975,0.144813,0.075071,0.144813,0.141207,0.00995,True,0.11873975163398694,False
svhn,best_accuracy,nn_dropout_count,250,0.176261,0.13793,2.869845,0.004975,0.038677,0.542727,0.038677,0.137584,0.00995,True,0.6406826048780487,False
celeba-gender,best_accuracy,nn_total_params,2338,0.228316,0.042119,41.672106,0.004975,0.090988,1.1e-05,0.090988,0.137327,0.00995,True,3.059770114942529e-05,True
cifar-10,accuracy_epoch_5,nn_max_depth,2787,0.185324,0.138229,25.833968,0.004975,-0.053701,0.004572,0.053701,0.131623,0.00995,True,0.009297680672268906,True
cifar-10,best_accuracy,prm__dropout,12837,0.174177,0.069899,127.70972,0.004975,-0.048005,0.0,0.048005,0.126172,0.00995,True,0.0,True
svhn,accuracy_epoch_1,nn_max_depth,433,0.156142,0.132077,3.646956,0.004975,0.036593,0.447547,0.036593,0.119548,0.00995,True,0.54288344,False
celeba-gender,accuracy_epoch_1,nn_total_layers,3171,0.165095,0.058415,39.713758,0.004975,0.048023,0.006836,0.048023,0.117072,0.00995,True,0.013559934426229507,True
svhn,best_accuracy,nn_flops,250,0.249463,0.028588,6.033422,0.00995,-0.134409,0.033654,0.134409,0.115053,0.018665891472868217,True,0.05776076595744681,False
celeba-gender,accuracy_epoch_1,nn_total_params,3171,0.165747,0.052483,40.913112,0.004975,0.0517,0.00359,0.0517,0.114047,0.00995,True,0.007425470085470086,True
cifar-10,best_accuracy,nn_flops,9881,0.494267,0.169059,247.71837,0.004975,0.381706,0.0,0.381706,0.112561,0.00995,True,0.0,True
svhn,accuracy_epoch_1,nn_flops,433,0.233209,0.036976,8.567983,0.004975,-0.12222,0.010914,0.12222,0.110989,0.00995,True,0.0201465,True
cifar-100,accuracy_epoch_1,nn_max_depth,299,0.216518,0.16527,4.268209,0.004975,-0.106706,0.065378,0.106706,0.109811,0.00995,True,0.10408865789473684,False
mnist,accuracy_epoch_1,nn_max_depth,286,0.202603,0.136464,3.930687,0.004975,-0.095812,0.105888,0.095812,0.106791,0.00995,True,0.15817837037037036,False
celeba-gender,accuracy_epoch_5,nn_total_params,1371,0.192644,0.051685,22.655067,0.004975,0.089116,0.000956,0.089116,0.103528,0.00995,True,0.002246135922330097,True
mnist,accuracy_epoch_1,nn_flops,286,0.260618,0.105648,5.199782,0.004975,0.15874,0.007148,0.15874,0.101877,0.00995,True,0.014063544715447155,True
celeba-gender,accuracy_epoch_1,nn_dropout_count,3171,0.231279,0.179914,36.081685,0.004975,0.130618,0.0,0.130618,0.100661,0.00995,True,0.0,True
cifar-10,accuracy_epoch_50,nn_has_attention,107,0.184452,0.154647,1.489778,0.004975,-0.09348,0.338211,0.09348,0.090972,0.00995,True,0.43305323809523805,False
cifar-10,accuracy_epoch_1,nn_dropout_count,11958,0.255029,0.126891,164.282586,0.004975,0.165391,0.0,0.165391,0.089638,0.00995,True,0.0,True
cifar-10,accuracy_epoch_1,prm__dropout,32938,0.174065,0.051211,257.996626,0.004975,-0.085377,0.0,0.085377,0.088688,0.00995,True,0.0,True
mnist,accuracy_epoch_5,nn_total_layers,167,0.223908,0.080445,3.498798,0.0199,0.136182,0.07929,0.136182,0.087726,0.03541029411764706,True,0.12459857142857142,False
imagenette,accuracy_epoch_5,nn_flops,127,0.359456,0.032446,5.622901,0.004975,0.274871,0.001763,0.274871,0.084585,0.00995,True,0.003927504587155963,True
imagenette,accuracy_epoch_1,prm__lr,18088,0.098217,0.062756,57.908123,0.004975,0.013925,0.061105,0.013925,0.084293,0.00995,True,0.09858273333333332,False
celeba-gender,best_accuracy,nn_has_residual,2338,0.086113,0.082687,7.829624,0.004975,0.004793,0.816842,0.004793,0.08132,0.00995,True,0.8746715221238938,False
mnist,accuracy_epoch_5,nn_max_depth,167,0.238986,0.166997,3.113302,0.00995,-0.158386,0.040919,0.158386,0.0806,0.018665891472868217,True,0.06876665277777777,False
imagenette,best_accuracy,prm__lr,3234,0.144416,0.068468,24.242714,0.004975,0.064032,0.000269,0.064032,0.080383,0.00995,True,0.0006711134020618556,True
