dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
cifar-10,accuracy_epoch_50,nn_total_params,2039,0.58285,0.004975,0.454249,0.0,0.454249,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_flops,2039,0.517254,0.004975,0.528872,0.0,0.528872,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_50,nn_total_layers,2039,0.44839,0.004975,0.347676,0.0,0.347676,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_50,nn_total_layers,87,0.401979,0.004975,0.352367,0.000816,0.352367,0.008512777777777779,True,0.0012736216216216215,True
places365,accuracy_epoch_50,prm__lr,88,0.396372,0.004975,0.376721,0.000297,0.376721,0.008512777777777779,True,0.00047976923076923077,True
places365,accuracy_epoch_50,nn_flops,87,0.382047,0.00995,0.278503,0.009001,0.278503,0.016301063829787237,True,0.01299519375,True
places365,accuracy_epoch_50,nn_dropout_count,87,0.357471,0.00995,0.224134,0.03689,0.224134,0.016301063829787237,True,0.04897465517241379,True
cifar-100,accuracy_epoch_50,nn_total_params,387,0.345669,0.004975,0.386149,0.0,0.386149,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_total_layers,387,0.330702,0.004975,0.40052,0.0,0.40052,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_50,prm__lr,413,0.322934,0.004975,0.398185,0.0,0.398185,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_total_params,620,0.32176,0.004975,0.173266,1.4e-05,0.173266,0.008512777777777779,True,2.45e-05,True
cifar-100,accuracy_epoch_50,nn_flops,387,0.312935,0.004975,0.356063,0.0,0.356063,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,prm__lr,464,0.312041,0.004975,0.501702,0.0,0.501702,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_50,prm__lr,643,0.306113,0.004975,0.340481,0.0,0.340481,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_total_layers,620,0.298065,0.004975,0.300411,0.0,0.300411,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,prm__lr,9734,0.2905,0.004975,0.466612,0.0,0.466612,0.008512777777777779,True,0.0,True
imagenette,accuracy_epoch_50,nn_flops,620,0.284816,0.004975,0.327881,0.0,0.327881,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_5,prm__lr,1092,0.283311,0.004975,0.447334,0.0,0.447334,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,nn_total_layers,42577,0.279373,0.004975,0.285559,0.0,0.285559,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,prm__dropout,198,0.278733,0.00995,0.084298,0.237695,0.084298,0.016301063829787237,True,0.274537725,False
cifar-100,accuracy_epoch_50,prm__lr,395,0.27114,0.004975,0.37764,0.0,0.37764,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,nn_dropout_count,23098,0.266896,0.004975,-0.045039,0.0,0.045039,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_1,prm__lr,1705,0.2625,0.004975,0.441434,0.0,0.441434,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,prm__lr,42783,0.259233,0.004975,0.015397,0.001449,0.015397,0.008512777777777779,True,0.0022020986842105263,True
cifar-100,accuracy_epoch_50,nn_dropout_count,387,0.258534,0.004975,0.296564,0.0,0.296564,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_5,prm__lr,16547,0.24597,0.004975,0.417153,0.0,0.417153,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_dropout_count,14265,0.237851,0.004975,-0.206064,0.0,0.206064,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,prm__momentum,42783,0.228291,0.004975,0.371705,0.0,0.371705,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_total_params,448,0.226888,0.004975,0.224868,2e-06,0.224868,0.008512777777777779,True,3.637795275590551e-06,True
cifar-100,accuracy_epoch_50,nn_max_depth,387,0.224677,0.00995,0.234146,3e-06,0.234146,0.016301063829787237,True,5.4140625e-06,True
mnist,accuracy_epoch_5,nn_total_params,16467,0.223005,0.004975,0.376473,0.0,0.376473,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_50,nn_has_residual,387,0.222309,0.004975,0.250882,1e-06,0.250882,0.008512777777777779,True,1.8780487804878048e-06,True
svhn,accuracy_epoch_5,nn_dropout_count,17631,0.221278,0.004975,-0.126489,0.0,0.126489,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_50,nn_dropout_count,405,0.221272,0.004975,-0.036574,0.462946,0.036574,0.008512777777777779,True,0.5068271374407584,False
imagenette,accuracy_epoch_50,prm__lr,639,0.219862,0.004975,0.342317,0.0,0.342317,0.008512777777777779,True,0.0,True
places365,accuracy_epoch_50,nn_has_attention,87,0.216397,0.004975,-0.163047,0.131318,0.163047,0.008512777777777779,True,0.1621988617021277,False
cifar-10,accuracy_epoch_1,prm__batch,42783,0.21486,0.004975,-0.305918,0.0,0.305918,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_flops,448,0.214719,0.004975,0.294242,0.0,0.294242,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_50,nn_flops,405,0.213227,0.004975,0.173214,0.000462,0.173214,0.008512777777777779,True,0.000741125,True
svhn,accuracy_epoch_50,nn_dropout_count,637,0.210682,0.004975,-0.004294,0.913867,0.004294,0.008512777777777779,True,0.9340852964601769,False
cifar-10,accuracy_epoch_1,nn_max_depth,42577,0.210018,0.004975,0.345925,0.0,0.345925,0.008512777777777779,True,0.0,True
cifar-100,accuracy_epoch_5,prm__lr,15347,0.209147,0.004975,0.336448,0.0,0.336448,0.008512777777777779,True,0.0,True
mnist,accuracy_epoch_50,nn_total_layers,448,0.207947,0.004975,0.236381,0.0,0.236381,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_1,nn_total_params,42577,0.206941,0.004975,-0.069609,0.0,0.069609,0.008512777777777779,True,0.0,True
cifar-10,accuracy_epoch_5,prm__lr,25260,0.206885,0.004975,0.318795,0.0,0.318795,0.008512777777777779,True,0.0,True
svhn,accuracy_epoch_1,nn_total_params,23098,0.203245,0.004975,-0.012891,0.05009,0.012891,0.008512777777777779,True,0.06500443820224719,False
celeba-gender,accuracy_epoch_50,nn_total_params,405,0.198407,0.0199,0.063627,0.20132,0.063627,0.03192291666666667,True,0.23487333333333332,False
celeba-gender,accuracy_epoch_50,prm__batch,413,0.197425,0.014925,-0.236768,1e-06,0.236768,0.024109615384615386,True,1.8780487804878048e-06,True
places365,accuracy_epoch_5,nn_total_params,1089,0.197272,0.004975,0.198469,0.0,0.198469,0.008512777777777779,True,0.0,True
