dataset,target,feature,n_samples,mic,mic_pval,spearman,spearman_pval,abs_spearman,mic_pval_fdr,mic_significant,spearman_pval_fdr,spearman_significant
celeba-gender,accuracy_epoch_1,nn_dropout_count,14265,0.237851,0.004975,-0.206064,0.0,0.206064,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_total_params,14265,0.183039,0.004975,-0.166284,0.0,0.166284,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__lr,14388,0.181579,0.004975,0.34541,0.0,0.34541,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_max_depth,14265,0.161051,0.004975,0.186712,0.0,0.186712,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_total_layers,14265,0.156076,0.004975,0.071926,0.0,0.071926,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_flops,14265,0.140114,0.004975,0.03645,1.3e-05,0.03645,0.008512777777777779,True,2.2923664122137405e-05,True
celeba-gender,accuracy_epoch_1,prm__batch,14388,0.118468,0.004975,-0.330588,0.0,0.330588,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,prm__dropout,11928,0.062118,0.004975,-0.010482,0.25234,0.010482,0.008512777777777779,True,0.2885670297029703,False
celeba-gender,accuracy_epoch_1,prm__momentum,14388,0.053763,0.348259,0.020028,0.016287,0.020028,0.44693238333333335,False,0.022528724550898202,True
celeba-gender,accuracy_epoch_1,nn_has_residual,14265,0.053398,0.004975,0.071227,0.0,0.071227,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_1,nn_has_attention,14265,0.013343,1.0,0.018196,0.029763,0.018196,1.0,False,0.040206157894736846,True
celeba-gender,accuracy_epoch_5,prm__lr,9734,0.2905,0.004975,0.466612,0.0,0.466612,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_dropout_count,9640,0.177453,0.004975,-0.116017,0.0,0.116017,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_total_params,9640,0.127606,0.004975,-0.096565,0.0,0.096565,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_max_depth,9640,0.121098,0.004975,0.119757,0.0,0.119757,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_total_layers,9640,0.116442,0.004975,0.088794,0.0,0.088794,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,prm__batch,9734,0.100765,0.004975,-0.299749,0.0,0.299749,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_flops,9640,0.09406,0.004975,0.049281,1e-06,0.049281,0.008512777777777779,True,1.8780487804878048e-06,True
celeba-gender,accuracy_epoch_5,prm__dropout,8355,0.063697,0.691542,0.002683,0.806278,0.002683,0.8108944263959391,False,0.8389649459459461,False
celeba-gender,accuracy_epoch_5,prm__momentum,9734,0.059069,0.915423,0.030411,0.002693,0.030411,1.0,False,0.003987711538461539,True
celeba-gender,accuracy_epoch_5,nn_has_residual,9640,0.055496,0.004975,0.059452,0.0,0.059452,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_5,nn_has_attention,9640,0.016181,1.0,0.011668,0.252004,0.011668,1.0,False,0.2885670297029703,False
celeba-gender,accuracy_epoch_50,prm__lr,413,0.322934,0.004975,0.398185,0.0,0.398185,0.008512777777777779,True,0.0,True
celeba-gender,accuracy_epoch_50,nn_dropout_count,405,0.221272,0.004975,-0.036574,0.462946,0.036574,0.008512777777777779,True,0.5068271374407584,False
celeba-gender,accuracy_epoch_50,nn_flops,405,0.213227,0.004975,0.173214,0.000462,0.173214,0.008512777777777779,True,0.000741125,True
