complexity,loss,equation,score,sympy_format,lambda_format
1,0.020880355,0.85291195,0.0,0.852911950000000,PySRFunction(X=>0.852911950000000)
3,0.020154532,prm__lr ^ 0.025433592,0.01768979426536506,prm__lr**0.025433592,PySRFunction(X=>prm__lr**0.025433592)
5,0.01783595,(prm__batch / prm__lr) ^ -0.015350739,0.06110654640635732,(prm__batch/prm__lr)**(-0.015350739),PySRFunction(X=>(prm__batch/prm__lr)**(-0.015350739))
7,0.016791597,prm__batch ^ (-0.011678586 / (prm__lr ^ 0.15581942)),0.03016875036770755,prm__batch**(-0.011678586/prm__lr**0.15581942),PySRFunction(X=>prm__batch**(-0.011678586/prm__lr**0.15581942))
8,0.016791515,sqrt(prm__batch ^ (-0.023641773 / (prm__lr ^ 0.15454678))),4.883406874228726e-06,sqrt(prm__batch**(-0.023641773/prm__lr**0.15454678)),PySRFunction(X=>sqrt(prm__batch**(-0.023641773/prm__lr**0.15454678)))
9,0.016189126,(prm__batch ^ (-0.0019220714 / (prm__lr ^ 0.3016961))) - 0.0747171,0.03653391700822745,-1*0.0747171 + prm__batch**(-0.0019220714/prm__lr**0.3016961),PySRFunction(X=>-1*0.0747171 + prm__batch**(-0.0019220714/prm__lr**0.3016961))
10,0.016001062,prm__batch ^ (-0.011069945 / ((prm__lr ^ 0.16243522) / exp(prm__lr))),0.011684687254595916,prm__batch**(-0.011069945*exp(prm__lr)/prm__lr**0.16243522),PySRFunction(X=>prm__batch**(-0.011069945*exp(prm__lr)/prm__lr**0.16243522))
11,0.015544897,(prm__batch ^ (-0.00764735 / (prm__lr ^ 0.20358054))) * (0.80581486 ^ prm__lr),0.028922677473027444,0.80581486**prm__lr/prm__batch**(0.00764735/(prm__lr**0.20358054)),PySRFunction(X=>0.80581486**prm__lr/prm__batch**(0.00764735/(prm__lr**0.20358054)))
12,0.015320895,(0.8243773 ^ sqrt(prm__lr)) * (prm__batch ^ (-0.00501726 / (prm__lr ^ 0.24691902))),0.014514834592453594,0.8243773**(sqrt(prm__lr))/prm__batch**(0.00501726/prm__lr**0.24691902),PySRFunction(X=>0.8243773**(sqrt(prm__lr))/prm__batch**(0.00501726/prm__lr**0.24691902))
14,0.0152146565,(0.8243773 ^ sqrt(prm__lr)) * ((prm__batch + 2.6589885) ^ (-0.005017269 / (prm__lr ^ 0.24631281))),0.0034791881411787118,0.8243773**(sqrt(prm__lr))/(prm__batch + 2.6589885)**(0.005017269/prm__lr**0.24631281),PySRFunction(X=>0.8243773**(sqrt(prm__lr))/(prm__batch + 2.6589885)**(0.005017269/prm__lr**0.24631281))
