complexity,loss,equation,score,sympy_format,lambda_format
1,0.030772066,0.3992274,0.0,0.399227400000000,PySRFunction(X=>0.399227400000000)
4,0.027691817,log(nn_flops ^ 0.019174103),0.03515679200472408,log(nn_flops**0.019174103),PySRFunction(X=>log(nn_flops**0.019174103))
5,0.024023289,1.5391169 - (prm__lr ^ -0.023794858),0.14211321954870215,1.5391169 - 1/prm__lr**0.023794858,PySRFunction(X=>1.5391169 - 1/prm__lr**0.023794858)
6,0.023985691,0.7903386 ^ exp(prm__lr ^ -0.054545447),0.001566290626732445,0.7903386**exp(prm__lr**(-0.054545447)),PySRFunction(X=>0.7903386**exp(prm__lr**(-0.054545447)))
7,0.020219523,1.5318854 - ((nn_has_residual + prm__lr) ^ -0.027286774),0.17080882140213471,1.5318854 - 1/(nn_has_residual + prm__lr)**0.027286774,PySRFunction(X=>1.5318854 - 1/(nn_has_residual + prm__lr)**0.027286774)
8,0.019773917,sqrt(1.2677759 - ((nn_has_residual + prm__lr) ^ -0.020499133)),0.022284876774452057,sqrt(1.2677759 - 1/(nn_has_residual + prm__lr)**0.020499133),PySRFunction(X=>sqrt(1.2677759 - 1/(nn_has_residual + prm__lr)**0.020499133))
10,0.019642247,sqrt(1.2772417 - ((prm__lr + (prm__dropout * nn_has_residual)) ^ -0.02132096)),0.003340520142229617,sqrt(1.2772417 - 1/(nn_has_residual*prm__dropout + prm__lr)**0.02132096),PySRFunction(X=>sqrt(1.2772417 - 1/(nn_has_residual*prm__dropout + prm__lr)**0.02132096))
12,0.019236056,sqrt(1.2772417 - ((prm__lr + (nn_has_residual / sqrt(exp(nn_dropout_count)))) ^ -0.02132096)),0.010448135565686282,sqrt(1.2772417 - 1/(nn_has_residual/sqrt(exp(nn_dropout_count)) + prm__lr)**0.02132096),PySRFunction(X=>sqrt(1.2772417 - 1/(nn_has_residual/sqrt(exp(nn_dropout_count)) + prm__lr)**0.02132096))
13,0.01900119,sqrt(abs((((nn_max_depth / nn_total_layers) / (nn_has_residual + prm__lr)) ^ 0.02249159) - 1.1962744)),0.012284825835217643,sqrt(Abs((nn_max_depth/(nn_total_layers*(nn_has_residual + prm__lr)))**0.02249159 - 1.1962744)),PySRFunction(X=>sqrt(Abs((nn_max_depth/(nn_total_layers*(nn_has_residual + prm__lr)))**0.02249159 - 1.1962744)))
15,0.017542457,(nn_max_depth ^ (((prm__lr ^ -0.31238517) * -0.17912583) / (nn_total_layers / (nn_dropout_count - -15.463665)))) * 0.5301656,0.039938775916388544,nn_max_depth**(-0.17912583/(prm__lr**0.31238517*(nn_total_layers/(nn_dropout_count - 1*(-15.463665)))))*0.5301656,PySRFunction(X=>nn_max_depth**(-0.17912583/(prm__lr**0.31238517*(nn_total_layers/(nn_dropout_count - 1*(-15.463665)))))*0.5301656)
16,0.017007837,(nn_max_depth ^ (((prm__lr ^ -0.32313257) / (nn_total_layers / abs(nn_dropout_count + -8.51663))) * -0.35359675)) * 0.5261612,0.03094981912297309,nn_max_depth**(-0.35359675/(prm__lr**0.32313257*(nn_total_layers/Abs(nn_dropout_count - 8.51663))))*0.5261612,PySRFunction(X=>nn_max_depth**(-0.35359675/(prm__lr**0.32313257*(nn_total_layers/Abs(nn_dropout_count - 8.51663))))*0.5261612)
18,0.016125571,((nn_total_layers - 20.982695) ^ (((prm__lr ^ -0.25110233) * -0.24073419) / (nn_total_layers / abs(nn_dropout_count + -9.725785)))) * 0.568125,0.026633982460381223,(nn_total_layers - 1*20.982695)**(-0.24073419/(prm__lr**0.25110233*(nn_total_layers/Abs(nn_dropout_count - 9.725785))))*0.568125,PySRFunction(X=>(nn_total_layers - 1*20.982695)**(-0.24073419/(prm__lr**0.25110233*(nn_total_layers/Abs(nn_dropout_count - 9.725785))))*0.568125)
19,0.016041072,((nn_total_layers - log(nn_flops)) ^ ((prm__lr ^ -0.24566953) * (-0.2522262 / abs(nn_total_layers / (nn_dropout_count + -9.846947))))) * 0.5723079,0.00525383978474559,0.5723079/(nn_total_layers - log(nn_flops))**(0.2522262/(prm__lr**0.24566953*Abs(nn_total_layers/(nn_dropout_count - 9.846947)))),PySRFunction(X=>0.5723079/(nn_total_layers - log(nn_flops))**(0.2522262/(prm__lr**0.24566953*Abs(nn_total_layers/(nn_dropout_count - 9.846947)))))
21,0.016005836,((nn_total_layers - log(nn_flops)) ^ ((prm__lr ^ -0.2510673) * (-0.23964685 / abs(nn_total_layers / ((nn_has_residual + nn_dropout_count) + -9.847634))))) * 0.5677211,0.0010995136940914595,0.5677211/(nn_total_layers - log(nn_flops))**(0.23964685/(prm__lr**0.2510673*Abs(nn_total_layers/(nn_dropout_count + nn_has_residual - 9.847634)))),PySRFunction(X=>0.5677211/(nn_total_layers - log(nn_flops))**(0.23964685/(prm__lr**0.2510673*Abs(nn_total_layers/(nn_dropout_count + nn_has_residual - 9.847634)))))
22,0.015997676,((nn_total_layers - log(nn_flops)) ^ (abs((prm__lr ^ -0.24470419) / ((nn_total_layers / (nn_dropout_count + -9.846742)) + sqrt(prm__lr))) * -0.25540197)) * 0.5747666,0.0005099440446929696,0.5747666/(nn_total_layers - log(nn_flops))**(0.25540197*Abs(1/(nn_total_layers/(nn_dropout_count - 9.846742) + sqrt(prm__lr)))/Abs(prm__lr**0.24470419)),PySRFunction(X=>0.5747666/(nn_total_layers - log(nn_flops))**(0.25540197*Abs(1/(nn_total_layers/(nn_dropout_count - 9.846742) + sqrt(prm__lr)))/Abs(prm__lr**0.24470419)))
23,0.01582379,((nn_total_layers - log(nn_flops)) ^ ((prm__lr ^ -0.24337554) * (-0.27035177 / (nn_total_layers / abs(nn_dropout_count + ((-0.77904516 ^ nn_dropout_count) + -9.916559)))))) * 0.579319,0.01092895787847091,0.579319/(nn_total_layers - log(nn_flops))**(0.27035177*Abs(0.77904516**nn_dropout_count - nn_dropout_count + 9.916559)/(nn_total_layers*prm__lr**0.24337554)),PySRFunction(X=>0.579319/(nn_total_layers - log(nn_flops))**(0.27035177*Abs(0.77904516**nn_dropout_count - nn_dropout_count + 9.916559)/(nn_total_layers*prm__lr**0.24337554)))
24,0.015795348,((nn_total_layers - log(nn_flops)) ^ ((-0.26193377 / (nn_total_layers / abs(((-0.83037627 ^ square(nn_dropout_count)) + nn_dropout_count) + -9.923787))) * (prm__lr ^ -0.24692184))) * 0.57738096,0.00179903751146726,0.57738096/(nn_total_layers - log(nn_flops))**(0.26193377*Abs(0.83037627**(nn_dropout_count**2) - nn_dropout_count + 9.923787)/(nn_total_layers*prm__lr**0.24692184)),PySRFunction(X=>0.57738096/(nn_total_layers - log(nn_flops))**(0.26193377*Abs(0.83037627**(nn_dropout_count**2) - nn_dropout_count + 9.923787)/(nn_total_layers*prm__lr**0.24692184)))
25,0.015211412,(nn_total_layers ^ ((prm__lr ^ -0.21064095) * (-0.2999869 / ((((nn_total_layers / 3.8354836) - nn_dropout_count) / ((1.2820622 / (1.2896254 - nn_dropout_count)) + 3.8306262)) + 3.6863136)))) * 0.62954336,0.03766953067555203,nn_total_layers**(-0.2999869/(prm__lr**0.21064095*(3.6863136 + (-nn_dropout_count + nn_total_layers/3.8354836)/(3.8306262 + 1.2820622/(1.2896254 - nn_dropout_count)))))*0.62954336,PySRFunction(X=>nn_total_layers**(-0.2999869/(prm__lr**0.21064095*(3.6863136 + (-nn_dropout_count + nn_total_layers/3.8354836)/(3.8306262 + 1.2820622/(1.2896254 - nn_dropout_count)))))*0.62954336)
