complexity,loss,equation,score,sympy_format,lambda_format
1,0.027461525,0.5677843,0.0,0.567784300000000,PySRFunction(X=>0.567784300000000)
4,0.026181534,abs(nn_has_attention - 0.5766138),0.01591052700330067,Abs(nn_has_attention - 1*0.5766138),PySRFunction(X=>Abs(nn_has_attention - 1*0.5766138))
5,0.024657838,(-1.8804522 / nn_total_layers) + 0.6329365,0.059959531563124814,0.6329365 - 1.8804522/nn_total_layers,PySRFunction(X=>0.6329365 - 1.8804522/nn_total_layers)
6,0.02465339,sqrt((-1.9089746 / nn_total_layers) + 0.3903049),0.00018040516095298354,sqrt(0.3903049 - 1.9089746/nn_total_layers),PySRFunction(X=>sqrt(0.3903049 - 1.9089746/nn_total_layers))
7,0.024543604,0.6283761 + ((-1.788735 - nn_has_attention) / nn_total_layers),0.004463125622676741,0.6283761 + (-nn_has_attention - 1.788735)/nn_total_layers,PySRFunction(X=>0.6283761 + (-nn_has_attention - 1.788735)/nn_total_layers)
8,0.022355128,abs(0.6527291 - (nn_has_attention + (2.195757 / nn_total_layers))),0.09339555530728148,Abs(nn_has_attention - 0.6527291 + 2.195757/nn_total_layers),PySRFunction(X=>Abs(nn_has_attention - 0.6527291 + 2.195757/nn_total_layers))
10,0.022332033,abs(0.6527291 - (nn_has_attention + ((nn_has_attention + 2.195757) / nn_total_layers))),0.0005168151553912138,Abs(nn_has_attention - 0.6527291 + (nn_has_attention + 2.195757)/nn_total_layers),PySRFunction(X=>Abs(nn_has_attention - 0.6527291 + (nn_has_attention + 2.195757)/nn_total_layers))
11,0.022329861,abs((((-2.209963 / nn_total_layers) * exp(nn_has_attention)) + 0.65461785) - nn_has_attention),9.7264124164289e-05,Abs(nn_has_attention - 0.65461785 + 2.209963*exp(nn_has_attention)/nn_total_layers),PySRFunction(X=>Abs(nn_has_attention - 0.65461785 + 2.209963*exp(nn_has_attention)/nn_total_layers))
12,0.022089874,abs(((-1344.1986 - prm__batch) / (nn_total_layers * 692.4148)) + (0.6496447 - nn_has_attention)),0.010805527545694601,Abs(nn_has_attention + (0.0014442210074077/nn_total_layers)*(prm__batch + 1344.1986) - 0.6496447),PySRFunction(X=>Abs(nn_has_attention + (0.0014442210074077/nn_total_layers)*(prm__batch + 1344.1986) - 0.6496447))
14,0.022030627,abs((((-1344.9244 - prm__batch) / (prm__batch + (nn_total_layers * 690.5607))) + 0.6487668) - nn_has_attention),0.001342845939398705,Abs(nn_has_attention + (prm__batch + 1344.9244)/(nn_total_layers*690.5607 + prm__batch) - 0.6487668),PySRFunction(X=>Abs(nn_has_attention + (prm__batch + 1344.9244)/(nn_total_layers*690.5607 + prm__batch) - 0.6487668))
15,0.022026155,abs(((nn_has_attention + 0.32842085) * -1.0215588) + exp((-1686.4994 - prm__batch) / (nn_total_layers * 662.5131))),0.00020301074260758707,Abs((nn_has_attention + 0.32842085)*(-1.0215588) + exp((-prm__batch - 1686.4994)/((nn_total_layers*662.5131)))),PySRFunction(X=>Abs((nn_has_attention + 0.32842085)*(-1.0215588) + exp((-prm__batch - 1686.4994)/((nn_total_layers*662.5131)))))
17,0.021760197,abs(((nn_has_attention + 0.3346742) * -1.0158644) + exp((prm__batch * -0.000108801476) + (-773.26733 / (nn_total_layers * 329.88165)))),0.006074067800167608,Abs((nn_has_attention + 0.3346742)*(-1.0158644) + exp(prm__batch*(-0.000108801476) - 773.26733*0.00303139019706007/nn_total_layers)),PySRFunction(X=>Abs((nn_has_attention + 0.3346742)*(-1.0158644) + exp(prm__batch*(-0.000108801476) - 773.26733*0.00303139019706007/nn_total_layers)))
19,0.021746228,abs(exp((-773.843 / (nn_total_layers * 328.5581)) + ((prm__batch / 1.4138308) * -0.00015842998)) + ((nn_has_attention + 0.34216294) / -1.0158644)),0.00032107902407585177,Abs((nn_has_attention + 0.34216294)/(-1.0158644) + exp(prm__batch*(-0.00015842998)/1.4138308 - 773.843*0.0030436017252352/nn_total_layers)),PySRFunction(X=>Abs((nn_has_attention + 0.34216294)/(-1.0158644) + exp(prm__batch*(-0.00015842998)/1.4138308 - 773.843*0.0030436017252352/nn_total_layers)))
20,0.021723405,abs(((nn_has_attention + 0.3346742) / -1.0158644) + exp((-773.843 / (nn_total_layers * 328.5581)) + (abs(prm__batch - 32.45471) * -0.00015842998))),0.0010500664727086967,Abs((nn_has_attention + 0.3346742)/(-1.0158644) + exp(Abs(prm__batch - 1*32.45471)*(-0.00015842998) - 773.843*0.0030436017252352/nn_total_layers)),PySRFunction(X=>Abs((nn_has_attention + 0.3346742)/(-1.0158644) + exp(Abs(prm__batch - 1*32.45471)*(-0.00015842998) - 773.843*0.0030436017252352/nn_total_layers)))
21,0.021560833,abs(((nn_has_attention + 0.3295331) / -1.0158644) + exp((-773.843 / (nn_total_layers * 328.5581)) + (((328.5581 / prm__batch) + prm__batch) * -0.00015842998))),0.007511869076656209,Abs((nn_has_attention + 0.3295331)/(-1.0158644) + exp((prm__batch + 328.5581/prm__batch)*(-0.00015842998) - 773.843*0.0030436017252352/nn_total_layers)),PySRFunction(X=>Abs((nn_has_attention + 0.3295331)/(-1.0158644) + exp((prm__batch + 328.5581/prm__batch)*(-0.00015842998) - 773.843*0.0030436017252352/nn_total_layers)))
23,0.021483826,abs(((nn_has_attention + 0.3295331) / -1.0158644) + exp((-773.843 / (nn_total_layers * 328.5581)) + (abs((328.5581 / sqrt(prm__batch)) - prm__batch) * -0.00015842998))),0.001789004349054211,Abs(0.984383348801277*nn_has_attention - exp(-0.00015842998*Abs(prm__batch - 328.5581/sqrt(prm__batch)) - 2.35526988986118/nn_total_layers) + 0.324386896518866),PySRFunction(X=>Abs(0.984383348801277*nn_has_attention - exp(-0.00015842998*Abs(prm__batch - 328.5581/sqrt(prm__batch)) - 2.35526988986118/nn_total_layers) + 0.324386896518866))
