complexity,loss,equation,score,sympy_format,lambda_format
1,0.022348717,0.92220014,0.0,0.922200140000000,PySRFunction(X=>0.922200140000000)
3,0.018404776,prm__lr ^ 0.017692078,0.09707935916952182,prm__lr**0.017692078,PySRFunction(X=>prm__lr**0.017692078)
5,0.016305944,0.99303293 ^ (prm__lr ^ -0.36727068),0.06054024611747124,0.99303293**(prm__lr**(-0.36727068)),PySRFunction(X=>0.99303293**(prm__lr**(-0.36727068)))
7,0.01629152,0.9930838 ^ ((prm__lr ^ -0.36962447) + prm__lr),0.00044248843840693423,0.9930838**(prm__lr**(-0.36962447) + prm__lr),PySRFunction(X=>0.9930838**(prm__lr**(-0.36962447) + prm__lr))
8,0.016285375,0.9930838 ^ ((prm__lr ^ -0.36962447) + sqrt(prm__lr)),0.00037726125052016857,0.9930838**(prm__lr**(-0.36962447) + sqrt(prm__lr)),PySRFunction(X=>0.9930838**(prm__lr**(-0.36962447) + sqrt(prm__lr)))
9,0.016145969,square(0.9916023 ^ ((prm__lr * sqrt(nn_total_layers)) ^ -0.35194895)),0.008597044798032324,0.9916023**(2/(sqrt(nn_total_layers)*prm__lr)**0.35194895),PySRFunction(X=>0.9916023**(2/(sqrt(nn_total_layers)*prm__lr)**0.35194895))
11,0.016127963,square(0.9916023 ^ ((prm__lr * sqrt(nn_total_layers + 2.3484488)) ^ -0.35194895)),0.0005579116256493309,0.9916023**(2/(prm__lr*sqrt(nn_total_layers + 2.3484488))**0.35194895),PySRFunction(X=>0.9916023**(2/(prm__lr*sqrt(nn_total_layers + 2.3484488))**0.35194895))
12,0.01608925,(prm__lr ^ (0.040517878 ^ (nn_total_layers ^ sqrt(prm__lr ^ 0.6718439)))) + -0.024877489,0.0024032506246029835,prm__lr**(0.040517878**(nn_total_layers**(prm__lr**0.33592195))) - 0.024877489,PySRFunction(X=>prm__lr**(0.040517878**(nn_total_layers**(prm__lr**0.33592195))) - 0.024877489)
13,0.014704181,(0.27823928 ^ ((0.03613161 ^ nn_total_layers) ^ (prm__lr ^ (nn_total_layers * 0.019613123)))) * 0.9454826,0.09001947200170343,0.27823928**((0.03613161**nn_total_layers)**(prm__lr**(nn_total_layers*0.019613123)))*0.9454826,PySRFunction(X=>0.27823928**((0.03613161**nn_total_layers)**(prm__lr**(nn_total_layers*0.019613123)))*0.9454826)
15,0.013240859,(0.33173996 ^ ((0.03384383 ^ nn_total_layers) ^ ((prm__lr ^ 0.019416984) ^ nn_total_layers))) * (prm__lr ^ 0.012958463),0.05241222377740763,0.33173996**((0.03384383**nn_total_layers)**((prm__lr**0.019416984)**nn_total_layers))*prm__lr**0.012958463,PySRFunction(X=>0.33173996**((0.03384383**nn_total_layers)**((prm__lr**0.019416984)**nn_total_layers))*prm__lr**0.012958463)
16,0.0132244155,sqrt(prm__lr ^ 0.025461325) * (0.31779864 ^ ((0.03289894 ^ nn_total_layers) ^ ((prm__lr ^ 0.019580321) ^ nn_total_layers))),0.0012426473880683259,0.31779864**((0.03289894**nn_total_layers)**(prm__lr**(0.019580321*nn_total_layers)))*prm__lr**0.0127306625,PySRFunction(X=>0.31779864**((0.03289894**nn_total_layers)**(prm__lr**(0.019580321*nn_total_layers)))*prm__lr**0.0127306625)
18,0.013191827,(sqrt(prm__lr ^ 0.032834698) * (0.29359114 ^ ((0.030205648 ^ nn_total_layers) ^ ((prm__lr ^ 0.019499736) ^ nn_total_layers)))) - -0.020203678,0.0012336545037463507,0.29359114**((0.030205648**nn_total_layers)**(prm__lr**(0.019499736*nn_total_layers)))*prm__lr**0.016417349 + 0.020203678,PySRFunction(X=>0.29359114**((0.030205648**nn_total_layers)**(prm__lr**(0.019499736*nn_total_layers)))*prm__lr**0.016417349 + 0.020203678)
19,0.013186835,(0.33123732 ^ ((0.033542663 ^ nn_total_layers) ^ ((prm__lr ^ 0.019598646) ^ nn_total_layers))) * abs(sqrt((prm__lr ^ 0.027575256) * 1.018392)),0.00037848773827829174,1.00915410121547*0.33123732**((0.033542663**nn_total_layers)**(prm__lr**(0.019598646*nn_total_layers)))*Abs(prm__lr**0.013787628),PySRFunction(X=>1.00915410121547*0.33123732**((0.033542663**nn_total_layers)**(prm__lr**(0.019598646*nn_total_layers)))*Abs(prm__lr**0.013787628))
21,0.012984012,(0.276624 ^ ((0.019554762 ^ nn_total_layers) ^ ((prm__lr ^ 0.019554762) ^ nn_total_layers))) * sqrt((prm__lr ^ 0.029305566) ^ (prm__lr ^ sqrt(prm__lr))),0.007750114499129686,0.276624**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*sqrt(prm__lr**(0.029305566*prm__lr**(sqrt(prm__lr)))),PySRFunction(X=>0.276624**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*sqrt(prm__lr**(0.029305566*prm__lr**(sqrt(prm__lr)))))
22,0.012983955,(exp(-1.2817043) ^ ((0.019554762 ^ nn_total_layers) ^ ((prm__lr ^ 0.019554762) ^ nn_total_layers))) * sqrt((prm__lr ^ 0.029305566) ^ (prm__lr ^ sqrt(prm__lr))),4.39002406312193e-06,0.277563845051654**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*sqrt(prm__lr**(0.029305566*prm__lr**(sqrt(prm__lr)))),PySRFunction(X=>0.277563845051654**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*sqrt(prm__lr**(0.029305566*prm__lr**(sqrt(prm__lr)))))
23,0.012891558,(((prm__lr ^ 0.029305566) ^ (prm__lr ^ sqrt(sqrt(prm__lr)))) * (0.276624 ^ ((0.019554762 ^ nn_total_layers) ^ ((prm__lr ^ 0.019554762) ^ nn_total_layers)))) / 1.018379,0.007141685864564592,0.98195269148323*0.276624**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*prm__lr**(0.029305566*prm__lr**(prm__lr**(1/4))),PySRFunction(X=>0.98195269148323*0.276624**((0.019554762**nn_total_layers)**(prm__lr**(0.019554762*nn_total_layers)))*prm__lr**(0.029305566*prm__lr**(prm__lr**(1/4))))
26,0.01286795,(0.360415 ^ (((0.025601368 ^ nn_total_layers) ^ (prm__lr ^ ((0.05307063 ^ (0.1973033 ^ sqrt(nn_total_layers))) ^ square(nn_total_layers)))) + 0.1956237)) ^ square(square(prm__lr ^ sqrt(prm__lr))),0.0006109849253770429,(0.360415**((0.025601368**nn_total_layers)**(prm__lr**((0.05307063**(0.1973033**(sqrt(nn_total_layers))))**(nn_total_layers**2))) + 0.1956237))**(prm__lr**(4*sqrt(prm__lr))),PySRFunction(X=>(0.360415**((0.025601368**nn_total_layers)**(prm__lr**((0.05307063**(0.1973033**(sqrt(nn_total_layers))))**(nn_total_layers**2))) + 0.1956237))**(prm__lr**(4*sqrt(prm__lr))))
