complexity,loss,equation,score,sympy_format,lambda_format
1,0.012634844,0.23407209,0.0,0.234072090000000,PySRFunction(X=>0.234072090000000)
4,0.011367606,square(nn_has_residual + -0.4601579),0.035230220868237454,(nn_has_residual - 0.4601579)**2,PySRFunction(X=>(nn_has_residual - 0.4601579)**2)
5,0.01108015,(-1.7860681 / nn_total_layers) - -0.2821837,0.02561251236947228,-1*(-0.2821837) - 1.7860681/nn_total_layers,PySRFunction(X=>-1*(-0.2821837) - 1.7860681/nn_total_layers)
6,0.011060151,(-24.184826 / square(nn_total_layers)) + 0.2634069,0.0018065703297548827,0.2634069 - 24.184826/nn_total_layers**2,PySRFunction(X=>0.2634069 - 24.184826/nn_total_layers**2)
7,0.010912238,((nn_has_residual + -1.7191926) / nn_total_layers) - -0.27733287,0.013463737090190473,-1*(-0.27733287) + (nn_has_residual - 1.7191926)/nn_total_layers,PySRFunction(X=>-1*(-0.27733287) + (nn_has_residual - 1.7191926)/nn_total_layers)
9,0.010384506,(1.0609089 / (nn_dropout_count - (nn_total_layers ^ 0.7487335))) + 0.30783507,0.02478501206280478,0.30783507 + 1.0609089/(nn_dropout_count - nn_total_layers**0.7487335),PySRFunction(X=>0.30783507 + 1.0609089/(nn_dropout_count - nn_total_layers**0.7487335))
11,0.010376243,(0.8296483 / ((nn_max_depth - nn_total_layers) * (0.51407254 - nn_dropout_count))) + 0.27140704,0.0003980107093592908,0.27140704 + 0.8296483/(((0.51407254 - nn_dropout_count)*(nn_max_depth - nn_total_layers))),PySRFunction(X=>0.27140704 + 0.8296483/(((0.51407254 - nn_dropout_count)*(nn_max_depth - nn_total_layers))))
12,0.010167476,(-0.41181558 / (nn_has_residual + log((nn_total_layers ^ 0.7452968) - nn_dropout_count))) + 0.37888578,0.02032486783516534,0.37888578 - 0.41181558/(nn_has_residual + log(-nn_dropout_count + nn_total_layers**0.7452968)),PySRFunction(X=>0.37888578 - 0.41181558/(nn_has_residual + log(-nn_dropout_count + nn_total_layers**0.7452968)))
14,0.010148597,(-0.41138616 / (nn_has_residual + (nn_has_residual + log((nn_total_layers ^ 0.74600583) - nn_dropout_count)))) + 0.3763881,0.0009292645007826533,0.3763881 - 0.41138616/(2*nn_has_residual + log(-nn_dropout_count + nn_total_layers**0.74600583)),PySRFunction(X=>0.3763881 - 0.41138616/(2*nn_has_residual + log(-nn_dropout_count + nn_total_layers**0.74600583)))
15,0.009976132,(-0.41138616 / (nn_has_residual + log((nn_total_layers ^ 0.74600583) - abs(-1.3765069 + nn_dropout_count)))) + 0.3763881,0.017140029286222803,0.3763881 - 0.41138616/(nn_has_residual + log(nn_total_layers**0.74600583 - Abs(nn_dropout_count - 1.3765069))),PySRFunction(X=>0.3763881 - 0.41138616/(nn_has_residual + log(nn_total_layers**0.74600583 - Abs(nn_dropout_count - 1.3765069))))
17,0.009073297,abs(sqrt(sqrt(sqrt(nn_has_residual + (((0.6499212 ^ (nn_dropout_count - 1.208474)) - -0.91484016) ^ nn_dropout_count)))) + -0.8042184),0.047429867953870955,Abs((nn_has_residual + (0.6499212**(nn_dropout_count - 1.208474) + 0.91484016)**nn_dropout_count)**(1/8) - 0.8042184),PySRFunction(X=>Abs((nn_has_residual + (0.6499212**(nn_dropout_count - 1.208474) + 0.91484016)**nn_dropout_count)**(1/8) - 0.8042184))
21,0.008718015,abs(abs(abs(sqrt(sqrt(sqrt(nn_has_residual + (((0.71662194 ^ (nn_dropout_count - (-1.1375139 ^ nn_max_depth))) - -0.91528213) ^ nn_dropout_count)))) + -0.80306673))),0.009986032436458615,Abs((nn_has_residual + (0.71662194**(1.1375139**nn_max_depth + nn_dropout_count) + 0.91528213)**nn_dropout_count)**(1/8) - 0.80306673),PySRFunction(X=>Abs((nn_has_residual + (0.71662194**(1.1375139**nn_max_depth + nn_dropout_count) + 0.91528213)**nn_dropout_count)**(1/8) - 0.80306673))
