complexity,loss,equation,score,sympy_format,lambda_format
1,0.013426304,0.28584662,0.0,0.285846620000000,PySRFunction(X=>0.285846620000000)
4,0.011142661,0.3015451 / exp(nn_has_attention),0.062144897659555394,0.3015451/exp(nn_has_attention),PySRFunction(X=>0.3015451/exp(nn_has_attention))
5,0.009461187,(prm__lr ^ 0.025195261) - 0.5894467,0.16358322403577408,prm__lr**0.025195261 - 1*0.5894467,PySRFunction(X=>prm__lr**0.025195261 - 1*0.5894467)
6,0.00844714,(sqrt(prm__lr) + 0.1891227) - prm__lr,0.1133699283398879,sqrt(prm__lr) - prm__lr + 0.1891227,PySRFunction(X=>sqrt(prm__lr) - prm__lr + 0.1891227)
7,0.007980732,((prm__lr ^ 0.13256213) - prm__lr) * 0.59989303,0.05679778596143826,(prm__lr**0.13256213 - prm__lr)*0.59989303,PySRFunction(X=>(prm__lr**0.13256213 - prm__lr)*0.59989303)
8,0.007583853,sqrt(prm__lr) + (0.20166413 - (prm__lr * 1.2410705)),0.05100875472467142,sqrt(prm__lr) - 1.2410705*prm__lr + 0.20166413,PySRFunction(X=>sqrt(prm__lr) - 1.2410705*prm__lr + 0.20166413)
9,0.007434984,((prm__lr ^ 0.44915697) + 0.1801712) - (prm__lr / 0.7918008),0.01982495392753443,prm__lr**0.44915697 - prm__lr/0.7918008 + 0.1801712,PySRFunction(X=>prm__lr**0.44915697 - prm__lr/0.7918008 + 0.1801712)
10,0.0073720487,sqrt(((prm__lr ^ 0.59884834) + 0.034896143) - (prm__lr / 0.8338249)),0.008500782063137723,sqrt(prm__lr**0.59884834 - 1.19929256130394*prm__lr + 0.034896143),PySRFunction(X=>sqrt(prm__lr**0.59884834 - 1.19929256130394*prm__lr + 0.034896143))
11,0.0069264267,abs(((prm__lr ^ (0.26985905 + nn_has_attention)) - -0.15390866) - sqrt(prm__lr)),0.062351593348300906,Abs(-sqrt(prm__lr) + prm__lr**(nn_has_attention + 0.26985905) + 0.15390866),PySRFunction(X=>Abs(-sqrt(prm__lr) + prm__lr**(nn_has_attention + 0.26985905) + 0.15390866))
12,0.0065401904,((prm__lr ^ log((nn_has_attention + prm__lr) + 1.4802861)) + 0.1639428) - prm__lr,0.05737777431932923,-prm__lr + prm__lr**log(nn_has_attention + prm__lr + 1.4802861) + 0.1639428,PySRFunction(X=>-prm__lr + prm__lr**log(nn_has_attention + prm__lr + 1.4802861) + 0.1639428)
13,0.005716062,((prm__lr ^ 0.28557032) + 0.13561378) - ((prm__lr + (nn_has_attention / 15.255692)) ^ 0.57589835),0.13468617144040315,prm__lr**0.28557032 - (nn_has_attention/15.255692 + prm__lr)**0.57589835 + 0.13561378,PySRFunction(X=>prm__lr**0.28557032 - (nn_has_attention/15.255692 + prm__lr)**0.57589835 + 0.13561378)
14,0.005716061,((prm__lr ^ 0.28557032) + 0.13561378) - abs((prm__lr + (nn_has_attention / 15.255692)) ^ 0.57589835),1.7494563351728144e-07,prm__lr**0.28557032 - Abs((nn_has_attention/15.255692 + prm__lr)**0.57589835) + 0.13561378,PySRFunction(X=>prm__lr**0.28557032 - Abs((nn_has_attention/15.255692 + prm__lr)**0.57589835) + 0.13561378)
15,0.0056279753,((prm__lr ^ 0.3204925) + (0.09332446 - (((nn_has_attention / 39.10389) + prm__lr) ^ 0.50106597))) / 0.667119,0.015530181337059742,(prm__lr**0.3204925 - (nn_has_attention/39.10389 + prm__lr)**0.50106597 + 0.09332446)/0.667119,PySRFunction(X=>(prm__lr**0.3204925 - (nn_has_attention/39.10389 + prm__lr)**0.50106597 + 0.09332446)/0.667119)
16,0.0056194635,abs(((((nn_has_attention / 60.1489) + prm__lr) ^ 0.4616688) - ((prm__lr ^ 0.31216857) + 0.07440855)) / 0.57544434),0.0015135537567778988,Abs(1.73778753302187*prm__lr**0.31216857 - 1.73778753302187*(nn_has_attention/60.1489 + prm__lr)**0.4616688 + 0.129306250540235),PySRFunction(X=>Abs(1.73778753302187*prm__lr**0.31216857 - 1.73778753302187*(nn_has_attention/60.1489 + prm__lr)**0.4616688 + 0.129306250540235))
17,0.0055433605,((((prm__lr ^ 0.30947042) - (((nn_has_attention / 60.148525) + prm__lr) ^ 0.4834135)) + 0.016387306) ^ 0.6261383) ^ 0.9102072,0.013635291408862816,((prm__lr**0.30947042 - (nn_has_attention/60.148525 + prm__lr)**0.4834135 + 0.016387306)**0.6261383)**0.9102072,PySRFunction(X=>((prm__lr**0.30947042 - (nn_has_attention/60.148525 + prm__lr)**0.4834135 + 0.016387306)**0.6261383)**0.9102072)
22,0.005538181,abs((((prm__lr + (prm__lr ^ 0.55036896)) ^ (0.0689325 ^ nn_has_attention)) - ((prm__lr ^ 0.27449563) + 0.13146348)) - (prm__lr ^ (0.08958369 ^ nn_has_attention))),0.00018695956251844908,Abs(prm__lr**0.27449563 + prm__lr**(0.08958369**nn_has_attention) - (prm__lr**0.55036896 + prm__lr)**(0.0689325**nn_has_attention) + 0.13146348),PySRFunction(X=>Abs(prm__lr**0.27449563 + prm__lr**(0.08958369**nn_has_attention) - (prm__lr**0.55036896 + prm__lr)**(0.0689325**nn_has_attention) + 0.13146348))
