complexity,loss,equation,score,sympy_format,lambda_format
1,0.09521936,0.60360724,0.0,0.603607240000000,PySRFunction(X=>0.603607240000000)
3,0.093124285,prm__lr ^ 0.08735778,0.011124141824421245,prm__lr**0.08735778,PySRFunction(X=>prm__lr**0.08735778)
5,0.08157378,prm__lr ^ (prm__lr + 0.07822551),0.06621355600635843,prm__lr**(prm__lr + 0.07822551),PySRFunction(X=>prm__lr**(prm__lr + 0.07822551))
6,0.07862902,(prm__lr ^ 0.082160145) / exp(prm__lr),0.03676704431577492,prm__lr**0.082160145/exp(prm__lr),PySRFunction(X=>prm__lr**0.082160145/exp(prm__lr))
7,0.077290736,(prm__lr ^ 0.08155506) ^ (125.61552 ^ prm__lr),0.017166738838661405,(prm__lr**0.08155506)**(125.61552**prm__lr),PySRFunction(X=>(prm__lr**0.08155506)**(125.61552**prm__lr))
9,0.076631054,prm__lr ^ (((prm__lr + prm__lr) ^ 2.0989542) + 0.082738474),0.004285852179372051,prm__lr**((prm__lr + prm__lr)**2.0989542 + 0.082738474),PySRFunction(X=>prm__lr**((prm__lr + prm__lr)**2.0989542 + 0.082738474))
10,0.076575086,(prm__lr ^ 0.16595861) / (exp(prm__lr ^ 0.4265665) + -0.51583403),0.0007306234918483099,prm__lr**0.16595861/(exp(prm__lr**0.4265665) - 0.51583403),PySRFunction(X=>prm__lr**0.16595861/(exp(prm__lr**0.4265665) - 0.51583403))
11,0.075526565,(prm__lr ^ 0.034868408) ^ ((186.07593 / prm__lr) ^ (prm__lr + 0.06519887)),0.013787327126748915,(prm__lr**0.034868408)**((186.07593/prm__lr)**(prm__lr + 0.06519887)),PySRFunction(X=>(prm__lr**0.034868408)**((186.07593/prm__lr)**(prm__lr + 0.06519887)))
13,0.075261734,(prm__lr ^ 0.06904491) ^ ((prm__lr * 137.71716) ^ ((prm__lr ^ 0.49750814) + -0.07351045)),0.0017563118229879454,(prm__lr**0.06904491)**((prm__lr*137.71716)**(prm__lr**0.49750814 - 0.07351045)),PySRFunction(X=>(prm__lr**0.06904491)**((prm__lr*137.71716)**(prm__lr**0.49750814 - 0.07351045)))
15,0.07525254,((prm__lr ^ 0.079673484) ^ ((prm__lr * 131.721) ^ ((prm__lr ^ 0.49856636) + -0.06657382))) - -0.039424907,6.108390763937666e-05,(prm__lr**0.079673484)**((prm__lr*131.721)**(prm__lr**0.49856636 - 0.06657382)) - 1*(-0.039424907),PySRFunction(X=>(prm__lr**0.079673484)**((prm__lr*131.721)**(prm__lr**0.49856636 - 0.06657382)) - 1*(-0.039424907))
