prompt,completion
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9677
task: img-classification
dataset: celeba-gender
metric: acc
duration: 47112679057.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: Accuracy vs Epochs
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9644
task: img-classification
dataset: celeba-gender
metric: acc
duration: 44155457603.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9639
task: img-classification
dataset: celeba-gender
metric: acc
duration: 395459753117.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9624
task: img-classification
dataset: celeba-gender
metric: acc
duration: 102343139822.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9494
task: img-classification
dataset: celeba-gender
metric: acc
duration: 164810423788.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9473
task: img-classification
dataset: celeba-gender
metric: acc
duration: 112286564210.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9430
task: img-classification
dataset: celeba-gender
metric: acc
duration: 56103343638.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9429
task: img-classification
dataset: celeba-gender
metric: acc
duration: 67243387103.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9150
task: img-classification
dataset: celeba-gender
metric: acc
duration: 208837115531.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9150
task: img-classification
dataset: celeba-gender
metric: acc
duration: 167085931615.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9088
task: img-classification
dataset: celeba-gender
metric: acc
duration: 44284068331.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.9073
task: img-classification
dataset: celeba-gender
metric: acc
duration: 61217484809.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.8738
task: img-classification
dataset: celeba-gender
metric: acc
duration: 234826971264.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.8372
task: img-classification
dataset: celeba-gender
metric: acc
duration: 416196950466.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.8045
task: img-classification
dataset: celeba-gender
metric: acc
duration: 61981123631.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
"Model: AirNet
Early epoch: 1
Early accuracy: 0.7865
task: img-classification
dataset: celeba-gender
metric: acc
duration: 32473713929.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
","Maximum accuracy: 0.9950
Achieved at epoch: 32
task: img-classification
dataset: mnist
metric: acc
duration: 1188913935074.0
Unnamed: 7: nan
Unnamed: 8: nan
Unnamed: 9: nan
Unnamed: 10: nan
Unnamed: 11: nan
"
