model,early_epoch,early_accuracy,max_accuracy_epoch,max_accuracy,early_task,max_task,early_dataset,max_dataset,early_metric,max_metric,early_duration,max_duration,early_Unnamed: 7,max_Unnamed: 7,early_Unnamed: 8,max_Unnamed: 8,early_Unnamed: 9,max_Unnamed: 9,early_Unnamed: 10,max_Unnamed: 10,early_Unnamed: 11,max_Unnamed: 11
AirNet,1,0.9677387035367198,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,47112679057.0,1188913935074.0,,,,,,,,,Accuracy vs Epochs,
AirNet,1,0.964432421601042,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,44155457603.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9639314697926059,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,395459753117.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9624286143672979,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,102343139822.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9493537721671175,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,164810423788.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9473499649333734,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,112286564210.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9430417793808236,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,56103343638.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9429415890191364,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,67243387103.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9150385732892495,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,208837115531.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.914988478108406,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,167085931615.0,1188913935074.0,,,,,,,,,,
AirNet,1,0.9088267708646428,32,0.995,img-classification,img-classification,celeba-gender,mnist,acc,acc,44284068331.0,1188913935074.0,,,,,,,,,,
