feature,n_samples,dcor,dcor_pval,spearman,spearman_pval,abs_spearman,elapsed_s,dcor_pval_fdr,dcor_significant,spearman_pval_fdr,spearman_significant,n_samples_mic,mic,mic_pval,mic_pval_fdr,mic_significant
epoch_log,17642,0.488087,0.0,0.518885,0.0,0.518885,0.034,0.0,True,0.0,True,17642,0.233187,0.004975,0.005191304347826087,True
prm__batch,17642,0.202591,0.0,-0.196061,0.0,0.196061,0.038,0.0,True,0.0,True,17642,0.088575,0.004975,0.005191304347826087,True
nn_total_layers,17478,0.202517,0.0,0.212514,0.0,0.212514,0.039,0.0,True,0.0,True,17478,0.113449,0.004975,0.005191304347826087,True
nn_max_depth,17478,0.167102,0.0,0.154912,0.0,0.154912,0.039,0.0,True,0.0,True,17478,0.111699,0.004975,0.005191304347826087,True
prm__lr,17642,0.10894,0.0,0.239224,0.0,0.239224,0.042,0.0,True,0.0,True,17642,0.125058,0.004975,0.005191304347826087,True
nn_has_residual,17478,0.105163,0.0,0.102674,0.0,0.102674,0.039,0.0,True,0.0,True,17478,0.059918,0.004975,0.005191304347826087,True
nn_dropout_count,17478,0.082311,0.0,-0.046608,0.0,0.046608,0.039,0.0,True,0.0,True,17478,0.114801,0.004975,0.005191304347826087,True
nn_flops,17478,0.073931,0.0,0.093097,0.0,0.093097,0.04,0.0,True,0.0,True,17478,0.093612,0.004975,0.005191304347826087,True
nn_total_params,17478,0.072987,0.0,-0.020803,0.005953,0.020803,0.04,0.0,True,0.006494181818181818,True,17478,0.097377,0.004975,0.005191304347826087,True
prm__momentum,17642,0.040143,0.0,0.037685,1e-06,0.037685,0.04,0.0,True,1.3333333333333334e-06,True,17642,0.055562,0.004975,0.005191304347826087,True
prm__dropout,12648,0.028761,0.0,-0.02483,0.005229,0.02483,0.027,0.0,True,0.0062748,True,12648,0.061203,0.004975,0.005191304347826087,True
nn_has_attention,17478,0.018883,0.000272,-0.013973,0.064705,0.013973,0.039,0.000544,True,0.064705,False,17478,0.044737,1.0,1.0,False
