complexity,equation,loss,train_r2,test_r2
1,-0.0144413190000000,0.96906835,0.07303840381997173,-0.06890152278240791
3,epoch_log*0.25793642,0.8982893,0.14103677371647527,-0.5472064285712248
4,sqrt(epoch_log/prm__batch),0.8969883,0.17732641581371267,-0.02233363486219475
5,(epoch_log - 1*0.76029235)/nn_max_depth,0.8323942,0.20111103681599596,0.033159485995926
7,epoch_log*0.47069004 - 8.206949/nn_total_layers,0.79722697,0.21129190287849187,0.041511908085379856
8,epoch_log*0.38765478 - exp(-178.53877/prm__batch),0.77417815,0.2172761747372981,0.0431519065119782
9,0.488456630623436*sqrt(epoch_log) - exp(-178.53877/prm__batch),0.7741694,0.24200361404630166,-0.018130773169973136
10,epoch_log*0.4065837 - exp(nn_total_layers/((prm__batch*(-0.19380635)))),0.7643121,0.25034211984019916,0.035825576879803256
11,0.42521834*epoch_log - exp(-0.37886918*nn_total_layers/sqrt(prm__batch)),0.75851303,0.23042663209115632,-0.2602196512786905
12,epoch_log*0.49844006 - exp(-271.03656/prm__batch) - 5.446816/nn_total_layers,0.7345504,0.23044877362648464,-0.2647166835319088
14,epoch_log*0.45437586 - 1*(-0.22149098) - exp(-214.85313/prm__batch) - 8.623694/nn_total_layers,0.7264698,0.2463250471303744,-0.38497099568079673
15,epoch_log**(0.06067574**(nn_max_depth**2)) - exp(-272.38126/prm__batch) - 7.0079136/nn_total_layers,0.7212647,0.2463279288257223,-0.3890605703966248
16,epoch_log**((0.062343847**nn_max_depth)**6.0271745) - exp(-272.38126/prm__batch) - 7.0079136/nn_total_layers,0.7212434,0.24958037945116784,-1.0058699078697346
17,(epoch_log**(0.062343847**(nn_max_depth**2)) - exp(-272.38126/prm__batch) - 7.0079136/nn_total_layers)*0.8489182,0.7124298,0.2535627427484324,-1.605138601004687
19,(epoch_log**(0.11741286**(nn_max_depth**2)) - exp(-214.84889/prm__batch) - 8.203096/nn_total_layers)/1.2145058 - 1*(-0.055476476),0.7095122,0.2521200306278285,-1.6662938519783363
20,0.823380176529416*epoch_log**(0.11741286**(nn_max_depth**2)/2) + 0.055476476 - 0.823380176529416*exp(-214.84889/prm__batch) - 6.75426663256775/nn_total_layers,0.7095094,0.2584179273297197,-1.6453321902606795
21,-0.15421395*epoch_log + epoch_log**(0.00039238163**(2*nn_max_depth)) + 0.14340107 - exp(-272.44476/prm__batch) - 7.3681827/nn_total_layers,0.70601964,,
23,epoch_log**(nn_max_depth*0.11747722*(0.00019972242**(2*nn_max_depth) - epoch_log)) + 0.18124437 - exp(-247.19092/prm__batch) - 8.827144/nn_total_layers,0.7027447,,
25,epoch_log**(-0.12575445*epoch_log*nn_max_depth + (-0.12937903/nn_total_layers)**(2*nn_max_depth)) + 0.12575445 - exp(-272.44473/prm__batch) - 7.3699474/nn_total_layers,0.70193976,,
26,epoch_log**(0.12575445*(-epoch_log*nn_max_depth + (-0.12937903/nn_total_layers)**(2*nn_max_depth))) + 0.12575445 - exp(-272.44473/Abs(prm__batch)) - 7.3699474/nn_total_layers,0.7017038,,
27,epoch_log**((0.10720699/nn_total_layers)**(2*nn_max_depth)) - 0.060146973*nn_max_depth*(epoch_log - 0.6122798) + 0.06900286 - exp(-272.46146/prm__batch) - 8.185581/nn_total_layers,0.70004076,,
