held_out_dataset,complexity,equation,loss,train_r2,test_r2
celeba-gender,1,0.242716220000000,1.2479947,0.24937165835682396,-0.01251805139878126
celeba-gender,3,epoch_log/3.1003256,0.9367802,0.29541090550729,0.012976113683530577
celeba-gender,4,sqrt(epoch_log) - 0.595667,0.91695166,0.3252233057239371,0.02884238970225894
celeba-gender,5,(epoch_log - 0.74128234)*0.44042343,0.87932354,0.32986906488095513,0.11224076942045758
celeba-gender,7,-(-0.42130488)*epoch_log - 7.787036/nn_total_layers,0.84211785,0.3464590968739124,0.09660768942750819
celeba-gender,8,0.38468334*epoch_log - 0.38468334*sqrt(prm__batch)/nn_total_layers,0.83631986,0.3480460572673838,0.0973822376474811
celeba-gender,9,0.42064583*epoch_log - 0.42064583*log(prm__batch)/sqrt(nn_total_layers),0.8224654,0.35454214514005566,0.07210180776089092
celeba-gender,10,0.41241407*epoch_log - 0.41241407*prm__batch**0.30916235/sqrt(nn_total_layers),0.8156156,0.3552490337198625,0.07001593816283647
celeba-gender,11,epoch_log*0.4165376 - 1/(nn_total_layers**0.7642903*(prm__batch**(-0.28847355))),0.81363505,0.35977545786338605,0.08926055482588047
celeba-gender,13,epoch_log**0.77218306*0.5562241 - 1/(nn_total_layers**0.6169272*(prm__batch**(-0.24020918))),0.80552804,0.36252441903040933,0.06080607587341291
celeba-gender,15,0.5562241*epoch_log**0.77218306 - 1/(nn_total_layers**0.6169272*((nn_max_depth + prm__batch)**(-0.24020918))),0.80464584,0.3653920909127072,0.07463965478246071
celeba-gender,16,(-epoch_log**0.7260091 + prm__batch**0.26522672/sqrt(nn_total_layers))*(nn_max_depth/nn_total_layers - 0.6673048),0.7989968,0.3721498101658257,0.06287050676653316
celeba-gender,18,(0.7664995**(nn_total_layers/nn_max_depth) - 0.68253636)*(-epoch_log**0.6364958 + prm__batch**0.2667332/sqrt(nn_total_layers)),0.7974936,0.37317662718262845,0.06200308091278772
celeba-gender,20,(0.80413234**(nn_total_layers/nn_max_depth) - 1/nn_total_layers**0.088000305)*(-epoch_log**0.7153255 + sqrt(prm__batch**0.5290132/nn_total_layers)),0.7955662,,
celeba-gender,22,(0.7937442**((-epoch_log + nn_total_layers)/nn_max_depth) - 1/nn_total_layers**0.098259605)*(-epoch_log**0.7200326 + prm__batch**0.27088544/sqrt(nn_total_layers)),0.7926329,,
celeba-gender,23,-0.91550535**nn_total_layers + (0.798879**(nn_total_layers/nn_max_depth) - 1/nn_total_layers**0.11508961)*(-epoch_log**0.7474373 + prm__batch**0.45599982/nn_total_layers),0.7919873,,
celeba-gender,24,-0.8821394**nn_total_layers + (0.8123887**(nn_total_layers/nn_max_depth) - 1/nn_total_layers**0.103825696)*(-epoch_log**0.776021 + sqrt(prm__batch**0.51068556/nn_total_layers)),0.7835538,,
celeba-gender,26,-0.8821394**(-epoch_log + nn_total_layers) + (0.8123887**(nn_total_layers/nn_max_depth) - 1/nn_total_layers**0.103825696)*(-epoch_log**0.776021 + sqrt(prm__batch**0.51068556/nn_total_layers)),0.7823849,,
celeba-gender,28,-0.8821394**(-epoch_log + nn_total_layers - 0.53178865) + (0.8123887**(nn_total_layers/nn_max_depth) - 1/nn_total_layers**0.103825696)*(-epoch_log**0.776021 + sqrt(prm__batch**0.51068556/nn_total_layers)),0.7822723,,
cifar-10,1,0.171530620000000,1.201956,0.18617656809078886,0.09437203906068059
cifar-10,3,epoch_log/3.3924444,0.9781801,0.22887211345111247,0.14721113507111727
cifar-10,4,sqrt(epoch_log) - 0.6040264,0.97537154,0.23257157703926956,0.13844376576658968
cifar-10,5,(epoch_log - 1*0.7307313)*0.41756055,0.9268619,0.2460596004066078,0.23160981949237347
cifar-10,6,sqrt(epoch_log + 0.34717032) - 0.9335549,0.92241555,0.2612399121276615,0.19403664491741635
cifar-10,7,(epoch_log - 17.795946/nn_total_layers)*0.39741707,0.9062035,0.2699921110592184,0.25545774779095765
cifar-10,8,0.42212602*epoch_log - 0.0828549711882836*log(prm__batch),0.8879574,0.2762734167397395,0.2627895640116945
cifar-10,10,0.39578077*epoch_log - 1.7851796*log(prm__batch)/nn_total_layers,0.87743765,0.28246796876652336,0.2698056285475523
cifar-10,11,epoch_log*0.38338622 - (0.77428627**nn_total_layers)**(prm__batch**(-0.3559389)),0.86988777,0.2833895140599155,0.25934123222674965
cifar-10,12,0.693149074874951*sqrt(epoch_log) - 2.6241772/nn_total_layers**(prm__batch**(-0.12759137)),0.86328363,0.2835624274935131,0.25803249811055173
cifar-10,14,0.68582072001362*sqrt(epoch_log) - 3.013992/(nn_total_layers**(prm__batch**(-0.09494533)) - 0.80137336),0.8624423,0.2891034096104974,0.2711627724334137
cifar-10,15,(epoch_log*0.42108986)**0.70534194 - (0.77428627**nn_total_layers)**(prm__batch**(-0.3559389)) - 0.07864548,0.8613346,0.289886075236674,0.26149342817934684
cifar-10,16,0.673322211129263*sqrt(epoch_log) - 1.2687542/nn_total_layers**((nn_max_depth + prm__batch/nn_total_layers)**(-0.4925807)),0.86112666,0.29027978193487725,0.26045919914271976
cifar-10,17,epoch_log**0.7104338*0.5826848 - 1.2726454/(nn_total_layers**((nn_max_depth + prm__batch/nn_total_layers)**(-0.5031496))),0.85657126,0.2916075215785081,0.26170341929461893
cifar-10,19,epoch_log**0.6440652*0.60656077 - 1.2726454/((nn_total_layers - 1*3.1597574)**((nn_max_depth + prm__batch/nn_total_layers)**(-0.49225932))),0.8544666,0.29399188121568,0.26756191074628743
cifar-10,21,(epoch_log/(prm__batch + 46.608624)**0.1624317)**0.7448608 - (0.52027726**nn_total_layers)**((prm__batch + 44.918064)**(-0.45399)) - 0.12972432,0.85358644,0.29455708607453757,0.26882158880286233
cifar-10,22,(epoch_log/(prm__batch + 46.608624)**0.1624317)**0.70043257564225 - (0.52027726**nn_total_layers)**((prm__batch + 46.608624)**(-0.45399)) - 0.12972432,0.8531139,,
cifar-10,23,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**nn_total_layers)**(((prm__batch + 44.918064)/nn_total_layers)**(-0.45399)) - 0.12972432,0.8514569,,
cifar-10,24,(epoch_log/(prm__batch + 44.918064)**0.1624317)**exp(-0.41984126) - (0.84749585**nn_total_layers)**(((prm__batch + 44.918064)/nn_total_layers)**(-0.45399)) - 0.12972432,0.8513483,,
cifar-10,25,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((prm__batch/44.918064 + 0.7448608)**(-0.45399)) - 0.1624317,0.8485909,,
cifar-10,26,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((sqrt(nn_max_depth) + 0.0222627582524483*prm__batch)**(-0.45399)) - 0.12972432,0.84836346,,
cifar-10,27,(epoch_log/(prm__batch + 44.918064)**0.1624317)**0.7448608 - (0.84749585**(nn_total_layers - 6.1457005))**((nn_max_depth + prm__batch/44.918064 - 0.5949678)**(-0.45399)) - 0.12972432,0.8479116,,
cifar-100,1,0.220475720000000,1.1868234,0.21254628238755602,0.1895841585203728
cifar-100,3,epoch_log*0.29015785,0.9345685,0.28043485032496274,0.2959494315627661
cifar-100,5,epoch_log*0.39759567 - 1*0.29496598,0.8885642,0.30429219743725666,0.3014828805267892
cifar-100,7,epoch_log*0.38340682 - 7.4495497/nn_total_layers,0.85399675,0.30919462666761155,0.3397540867179295
