complexity,loss,equation,score,sympy_format,lambda_format
1,0.9984241,-0.0001380821,0.0,-0.000138082100000000,PySRFunction(X=>-0.000138082100000000)
3,0.9017294,epoch_log * 0.26897314,0.05093183044600233,epoch_log*0.26897314,PySRFunction(X=>epoch_log*0.26897314)
5,0.83929443,(epoch_log * 0.4446731) - 0.32268918,0.03587645023482228,epoch_log*0.4446731 - 1*0.32268918,PySRFunction(X=>epoch_log*0.4446731 - 1*0.32268918)
7,0.7991186,(epoch_log / 2.2812383) + (-7.915789 / nn_total_layers),0.024526102144368633,epoch_log/2.2812383 - 7.915789/nn_total_layers,PySRFunction(X=>epoch_log/2.2812383 - 7.915789/nn_total_layers)
8,0.7945021,(epoch_log * 0.45632762) - log(prm__batch ^ 0.09346366),0.00579374115015614,0.45632762*epoch_log - log(prm__batch**0.09346366),PySRFunction(X=>0.45632762*epoch_log - log(prm__batch**0.09346366))
9,0.78407013,(epoch_log - ((prm__batch ^ 0.15301935) + -1.1037362)) * 0.4120152,0.013217161264613123,(epoch_log - (prm__batch**0.15301935 - 1.1037362))*0.4120152,PySRFunction(X=>(epoch_log - (prm__batch**0.15301935 - 1.1037362))*0.4120152)
10,0.7733912,(epoch_log / 2.4498608) + (-0.11414866 / sqrt(nn_total_layers / prm__batch)),0.013713467101461993,0.408186456961146*epoch_log - 0.11414866/sqrt(nn_total_layers/prm__batch),PySRFunction(X=>0.408186456961146*epoch_log - 0.11414866/sqrt(nn_total_layers/prm__batch))
11,0.75867313,(-0.12980795 / ((nn_total_layers / prm__batch) + 0.123757556)) + (epoch_log / 2.4031012),0.01921397490502435,epoch_log/2.4031012 - 0.12980795/(nn_total_layers/prm__batch + 0.123757556),PySRFunction(X=>epoch_log/2.4031012 - 0.12980795/(nn_total_layers/prm__batch + 0.123757556))
13,0.7574094,(epoch_log / 2.4675765) + (-0.13939767 / (0.13320917 + (nn_total_layers / (prm__batch + 2.4675765)))),0.0008335498019900444,epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + 2.4675765) + 0.13320917),PySRFunction(X=>epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + 2.4675765) + 0.13320917))
14,0.75348914,(-0.13939767 / (0.13320917 + (nn_total_layers / (exp(2.4675765) + prm__batch)))) + (epoch_log / 2.4675765),0.00518932104786262,epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + exp(2.4675765)) + 0.13320917),PySRFunction(X=>epoch_log/2.4675765 - 0.13939767/(nn_total_layers/(prm__batch + exp(2.4675765)) + 0.13320917))
15,0.7517652,((-0.37596714 / prm__batch) + (-0.13939767 / ((nn_total_layers / prm__batch) + 0.13320917))) + (epoch_log / 2.3175318),0.0022905640700524076,epoch_log/2.3175318 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917) - 0.37596714/prm__batch,PySRFunction(X=>epoch_log/2.3175318 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917) - 0.37596714/prm__batch)
16,0.7374635,((epoch_log / 2.4675765) + (-0.13939767 / (0.13320917 + (nn_total_layers / prm__batch)))) - (square(nn_total_layers) * -2.9465007e-6),0.019207445688283753,epoch_log/2.4675765 - (-2.9465007e-6)*nn_total_layers**2 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917),PySRFunction(X=>epoch_log/2.4675765 - (-2.9465007e-6)*nn_total_layers**2 - 0.13939767/(nn_total_layers/prm__batch + 0.13320917))
